id;scene;friendly_name;location;type;x;y;renderscene;rendertype;context;room;game
0x49;BOTTOM_OF_THE_WELL;Inner East;OOT Bottom of the Well GS Inner East;gs;875;222;BOTTOM_OF_THE_WELL;gs;All;0;oot
0x05;BOTTOM_OF_THE_WELL;Silver Rupee 1;OOT Bottom of the Well SR 1;sr;396;618;BOTTOM_OF_THE_WELL;sr;All;1;oot
0x06;BOTTOM_OF_THE_WELL;Silver Rupee 2;OOT Bottom of the Well SR 2;sr;494;566;BOTTOM_OF_THE_WELL;sr;All;1;oot
0x07;BOTTOM_OF_THE_WELL;Silver Rupee 3;OOT Bottom of the Well SR 3;sr;523;568;BOTTOM_OF_THE_WELL;sr;All;1;oot
0x08;BOTTOM_OF_THE_WELL;Silver Rupee 4;OOT Bottom of the Well SR 4;sr;568;536;BOTTOM_OF_THE_WELL;sr;All;1;oot
0x09;BOTTOM_OF_THE_WELL;Silver Rupee 5;OOT Bottom of the Well SR 5;sr;609;584;BOTTOM_OF_THE_WELL;sr;All;1;oot
0x0016;BOTTOM_OF_THE_WELL;Main Room 1;OOT Bottom of the Well Pot Main Room 1;pot;540;615;BOTTOM_OF_THE_WELL;pot;All;0;oot
0x0017;BOTTOM_OF_THE_WELL;Main Room 2;OOT Bottom of the Well Pot Main Room 2;pot;540;600;BOTTOM_OF_THE_WELL;pot;All;0;oot
0x0018;BOTTOM_OF_THE_WELL;Main Room 3;OOT Bottom of the Well Pot Main Room 3;pot;540;588;BOTTOM_OF_THE_WELL;pot;All;0;oot
0x001a;BOTTOM_OF_THE_WELL;Main Room 4;OOT Bottom of the Well Pot Main Room 4;pot;829;723;BOTTOM_OF_THE_WELL;pot;All;0;oot
0x001b;BOTTOM_OF_THE_WELL;Main Room 5;OOT Bottom of the Well Pot Main Room 5;pot;853;723;BOTTOM_OF_THE_WELL;pot;All;0;oot
0x001d;BOTTOM_OF_THE_WELL;Main Room - Underwater;OOT Bottom of the Well Pot Main Room Underwater;pot;835;119;BOTTOM_OF_THE_WELL;pot;All;0;oot
0x012c;BOTTOM_OF_THE_WELL;Basement 1;OOT Bottom of the Well Pot Basement 01;pot;657;459;BOTTOM_OF_THE_WELL;pot;All;1;oot
0x012d;BOTTOM_OF_THE_WELL;Basement 2;OOT Bottom of the Well Pot Basement 02;pot;705;481;BOTTOM_OF_THE_WELL;pot;All;1;oot
0x012e;BOTTOM_OF_THE_WELL;Basement 3;OOT Bottom of the Well Pot Basement 03;pot;759;327;BOTTOM_OF_THE_WELL;pot;All;1;oot
0x012f;BOTTOM_OF_THE_WELL;Basement 4;OOT Bottom of the Well Pot Basement 04;pot;842;299;BOTTOM_OF_THE_WELL;pot;All;1;oot
0x0130;BOTTOM_OF_THE_WELL;Basement 5;OOT Bottom of the Well Pot Basement 05;pot;790;344;BOTTOM_OF_THE_WELL;pot;All;1;oot
0x0131;BOTTOM_OF_THE_WELL;Basement 6;OOT Bottom of the Well Pot Basement 06;pot;869;300;BOTTOM_OF_THE_WELL;pot;All;1;oot
0x0132;BOTTOM_OF_THE_WELL;Basement 7;OOT Bottom of the Well Pot Basement 07;pot;841;274;BOTTOM_OF_THE_WELL;pot;All;1;oot
0x0133;BOTTOM_OF_THE_WELL;Basement 8;OOT Bottom of the Well Pot Basement 08;pot;840;285;BOTTOM_OF_THE_WELL;pot;All;1;oot
0x0134;BOTTOM_OF_THE_WELL;Basement 9;OOT Bottom of the Well Pot Basement 09;pot;771;345;BOTTOM_OF_THE_WELL;pot;All;1;oot
0x0135;BOTTOM_OF_THE_WELL;Basement 10;OOT Bottom of the Well Pot Basement 10;pot;856;299;BOTTOM_OF_THE_WELL;pot;All;1;oot
0x0136;BOTTOM_OF_THE_WELL;Basement 11;OOT Bottom of the Well Pot Basement 11;pot;756;341;BOTTOM_OF_THE_WELL;pot;All;1;oot
0x0137;BOTTOM_OF_THE_WELL;Basement 12;OOT Bottom of the Well Pot Basement 12;pot;767;312;BOTTOM_OF_THE_WELL;pot;All;1;oot
0x0306;BOTTOM_OF_THE_WELL;Side Room;OOT Bottom of the Well Pot Side Room;pot;1101;210;BOTTOM_OF_THE_WELL;pot;All;0;oot
0x0602;BOTTOM_OF_THE_WELL;Flying Pot 1;OOT Bottom of the Well Flying Pot 1;pot;767;224;BOTTOM_OF_THE_WELL;pot;All;0;oot
0x0603;BOTTOM_OF_THE_WELL;Flying Pot 2;OOT Bottom of the Well Flying Pot 2;pot;715;224;BOTTOM_OF_THE_WELL;pot;All;0;oot
0x0604;BOTTOM_OF_THE_WELL;Flying Pot 3;OOT Bottom of the Well Flying Pot 3;pot;741;224;BOTTOM_OF_THE_WELL;pot;All;0;oot
0x00101;BOTTOM_OF_THE_WELL;Grass 1;OOT Bottom of the Well Grass 01;grass;420;246;BOTTOM_OF_THE_WELL;grass;All;1;oot
0x00102;BOTTOM_OF_THE_WELL;Grass 2;OOT Bottom of the Well Grass 02;grass;419;265;BOTTOM_OF_THE_WELL;grass;All;1;oot
0x00103;BOTTOM_OF_THE_WELL;Grass 3;OOT Bottom of the Well Grass 03;grass;422;281;BOTTOM_OF_THE_WELL;grass;All;1;oot
0x00104;BOTTOM_OF_THE_WELL;Grass 4;OOT Bottom of the Well Grass 04;grass;428;332;BOTTOM_OF_THE_WELL;grass;All;1;oot
0x00105;BOTTOM_OF_THE_WELL;Grass 5;OOT Bottom of the Well Grass 05;grass;438;296;BOTTOM_OF_THE_WELL;grass;All;1;oot
0x00106;BOTTOM_OF_THE_WELL;Grass 6;OOT Bottom of the Well Grass 06;grass;442;242;BOTTOM_OF_THE_WELL;grass;All;1;oot
0x00107;BOTTOM_OF_THE_WELL;Grass 7;OOT Bottom of the Well Grass 07;grass;443;263;BOTTOM_OF_THE_WELL;grass;All;1;oot
0x00108;BOTTOM_OF_THE_WELL;Grass 8;OOT Bottom of the Well Grass 08;grass;440;362;BOTTOM_OF_THE_WELL;grass;All;1;oot
0x00109;BOTTOM_OF_THE_WELL;Grass 9;OOT Bottom of the Well Grass 09;grass;446;278;BOTTOM_OF_THE_WELL;grass;All;1;oot
0x0010a;BOTTOM_OF_THE_WELL;Grass 10;OOT Bottom of the Well Grass 10;grass;511;467;BOTTOM_OF_THE_WELL;grass;All;1;oot
0x0010b;BOTTOM_OF_THE_WELL;Grass 11;OOT Bottom of the Well Grass 11;grass;526;462;BOTTOM_OF_THE_WELL;grass;All;1;oot
0x0010c;BOTTOM_OF_THE_WELL;Grass 12;OOT Bottom of the Well Grass 12;grass;528;449;BOTTOM_OF_THE_WELL;grass;All;1;oot
0x0011a;BOTTOM_OF_THE_WELL;Rupee 1;OOT Bottom of the Well Rupee 1;rupee;696;416;BOTTOM_OF_THE_WELL;rupee;All;1;oot
0x0011b;BOTTOM_OF_THE_WELL;Rupee 2;OOT Bottom of the Well Rupee 2;rupee;710;429;BOTTOM_OF_THE_WELL;rupee;All;1;oot
0x0011c;BOTTOM_OF_THE_WELL;Rupee 3;OOT Bottom of the Well Rupee 3;rupee;707;444;BOTTOM_OF_THE_WELL;rupee;All;1;oot
0x0011d;BOTTOM_OF_THE_WELL;Rupee 4;OOT Bottom of the Well Rupee 4;rupee;663;433;BOTTOM_OF_THE_WELL;rupee;All;1;oot
0x0011e;BOTTOM_OF_THE_WELL;Rupee 5;OOT Bottom of the Well Rupee 5;rupee;677;410;BOTTOM_OF_THE_WELL;rupee;All;1;oot
0x0020d;BOTTOM_OF_THE_WELL;Heart 1;OOT Bottom of the Well Heart 1;heart;245;403;BOTTOM_OF_THE_WELL;heart;All;0;oot
0x0020e;BOTTOM_OF_THE_WELL;Heart 2;OOT Bottom of the Well Heart 2;heart;188;332;BOTTOM_OF_THE_WELL;heart;All;0;oot
0x00113;BOTTOM_OF_THE_WELL;Basement;OOT Bottom of the Well Basement Big Fairy;fairy_spot;862;224;BOTTOM_OF_THE_WELL;fairy_spot;All;1;oot
0x03;BOTTOM_OF_THE_WELL;Map;OOT MQ Bottom of the Well Map Chest;chest;0;0;MQ_BOTTOM_OF_THE_WELL;chest;All;0;oot_mq
0x02;BOTTOM_OF_THE_WELL;Compass;OOT MQ Bottom of the Well Compass Chest;chest;0;0;MQ_BOTTOM_OF_THE_WELL;chest;All;0;oot_mq
0x01;BOTTOM_OF_THE_WELL;Lens of Truth;OOT MQ Bottom of the Well Lens Chest;chest;0;0;MQ_BOTTOM_OF_THE_WELL;chest;All;0;oot_mq
0x02;BOTTOM_OF_THE_WELL;Dead Hand Key;OOT MQ Bottom of the Well Dead Hand Key;collectible;0;0;MQ_BOTTOM_OF_THE_WELL;collectible;All;0;oot_mq
0x01;BOTTOM_OF_THE_WELL;East Middle Room Key;OOT MQ Bottom of the Well East Middle Room Key;collectible;0;0;MQ_BOTTOM_OF_THE_WELL;collectible;All;0;oot_mq
0x48;BOTTOM_OF_THE_WELL;Basement;OOT MQ Bottom of the Well GS Basement;gs;0;0;MQ_BOTTOM_OF_THE_WELL;gs;All;0;oot_mq
0x49;BOTTOM_OF_THE_WELL;West Middle Room;OOT MQ Bottom of the Well GS West Middle Room;gs;0;0;MQ_BOTTOM_OF_THE_WELL;gs;All;0;oot_mq
0x4a;BOTTOM_OF_THE_WELL;Coffin Room;OOT MQ Bottom of the Well GS Coffin Room;gs;0;0;MQ_BOTTOM_OF_THE_WELL;gs;All;0;oot_mq
0x0028;BOTTOM_OF_THE_WELL;Lobby Cage 1;OOT MQ Bottom of the Well Pot Lobby Cage 1;pot;0;0;MQ_BOTTOM_OF_THE_WELL;pot;All;0;oot_mq
0x002a;BOTTOM_OF_THE_WELL;Lobby Cage 2;OOT MQ Bottom of the Well Pot Lobby Cage 2;pot;0;0;MQ_BOTTOM_OF_THE_WELL;pot;All;0;oot_mq
0x002c;BOTTOM_OF_THE_WELL;Lobby Cage 3;OOT MQ Bottom of the Well Pot Lobby Cage 3;pot;0;0;MQ_BOTTOM_OF_THE_WELL;pot;All;0;oot_mq
0x002e;BOTTOM_OF_THE_WELL;Lobby Alcove;OOT MQ Bottom of the Well Pot Lobby Alcove;pot;0;0;MQ_BOTTOM_OF_THE_WELL;pot;All;0;oot_mq
0x0506;BOTTOM_OF_THE_WELL;Side Room 1;OOT MQ Bottom of the Well Pot Side Room 1;pot;0;0;MQ_BOTTOM_OF_THE_WELL;pot;All;0;oot_mq
0x0507;BOTTOM_OF_THE_WELL;Side Room 2;OOT MQ Bottom of the Well Pot Side Room 2;pot;0;0;MQ_BOTTOM_OF_THE_WELL;pot;All;0;oot_mq
0x0508;BOTTOM_OF_THE_WELL;Side Room 3;OOT MQ Bottom of the Well Pot Side Room 3;pot;0;0;MQ_BOTTOM_OF_THE_WELL;pot;All;0;oot_mq
0x00400;BOTTOM_OF_THE_WELL;Dead-Hand 1;OOT MQ Bottom of the Well Grass Dead-Hand 1;grass;0;0;MQ_BOTTOM_OF_THE_WELL;grass;All;0;oot_mq
0x00401;BOTTOM_OF_THE_WELL;Dead-Hand 2;OOT MQ Bottom of the Well Grass Dead-Hand 2;grass;0;0;MQ_BOTTOM_OF_THE_WELL;grass;All;0;oot_mq
0x00402;BOTTOM_OF_THE_WELL;Dead-Hand 3;OOT MQ Bottom of the Well Grass Dead-Hand 3;grass;0;0;MQ_BOTTOM_OF_THE_WELL;grass;All;0;oot_mq
0x00403;BOTTOM_OF_THE_WELL;Dead-Hand 4;OOT MQ Bottom of the Well Grass Dead-Hand 4;grass;0;0;MQ_BOTTOM_OF_THE_WELL;grass;All;0;oot_mq
0x0000d;BOTTOM_OF_THE_WELL;Lobby Cage;OOT MQ Bottom of the Well Lobby Cage Big Fairy;fairy_spot;0;0;MQ_BOTTOM_OF_THE_WELL;fairy_spot;All;0;oot_mq
0x00111;BOTTOM_OF_THE_WELL;Basement;OOT MQ Bottom of the Well Basement Big Fairy;fairy_spot;0;0;MQ_BOTTOM_OF_THE_WELL;fairy_spot;All;0;oot_mq
0x00024;BOTTOM_OF_THE_WELL;Main Room 1;OOT MQ Bottom of the Well Heart Main Room 1;heart;0;0;MQ_BOTTOM_OF_THE_WELL;heart;All;0;oot_mq
0x00025;BOTTOM_OF_THE_WELL;Main Room 2;OOT MQ Bottom of the Well Heart Main Room 2;heart;0;0;MQ_BOTTOM_OF_THE_WELL;heart;All;0;oot_mq
0x0011b;BOTTOM_OF_THE_WELL;Basement 1;OOT MQ Bottom of the Well Heart Basement 1;heart;0;0;MQ_BOTTOM_OF_THE_WELL;heart;All;0;oot_mq
0x0011c;BOTTOM_OF_THE_WELL;Basement 2;OOT MQ Bottom of the Well Heart Basement 2;heart;0;0;MQ_BOTTOM_OF_THE_WELL;heart;All;0;oot_mq
0x0011d;BOTTOM_OF_THE_WELL;Basement 3;OOT MQ Bottom of the Well Heart Basement 3;heart;0;0;MQ_BOTTOM_OF_THE_WELL;heart;All;0;oot_mq
0x0020a;BOTTOM_OF_THE_WELL;Coffin 1;OOT MQ Bottom of the Well Heart Coffin 1;heart;0;0;MQ_BOTTOM_OF_THE_WELL;heart;All;0;oot_mq
0x0020b;BOTTOM_OF_THE_WELL;Coffin 2;OOT MQ Bottom of the Well Heart Coffin 2;heart;0;0;MQ_BOTTOM_OF_THE_WELL;heart;All;0;oot_mq
0x00005;BOTTOM_OF_THE_WELL;Main Room Left 1;OOT MQ Bottom of the Well Wonder Item Main Room Left 1;wonder;0;0;MQ_BOTTOM_OF_THE_WELL;wonder;All;0;oot_mq
0x00006;BOTTOM_OF_THE_WELL;Main Room Left 2;OOT MQ Bottom of the Well Wonder Item Main Room Left 2;wonder;0;0;MQ_BOTTOM_OF_THE_WELL;wonder;All;0;oot_mq
0x00008;BOTTOM_OF_THE_WELL;Main Room Left 3;OOT MQ Bottom of the Well Wonder Item Main Room Left 3;wonder;0;0;MQ_BOTTOM_OF_THE_WELL;wonder;All;0;oot_mq
0x0000a;BOTTOM_OF_THE_WELL;Main Room Left 4;OOT MQ Bottom of the Well Wonder Item Main Room Left 4;wonder;0;0;MQ_BOTTOM_OF_THE_WELL;wonder;All;0;oot_mq
0x00007;BOTTOM_OF_THE_WELL;Main Room Right 1;OOT MQ Bottom of the Well Wonder Item Main Room Right 1;wonder;0;0;MQ_BOTTOM_OF_THE_WELL;wonder;All;0;oot_mq
0x00009;BOTTOM_OF_THE_WELL;Main Room Right 2;OOT MQ Bottom of the Well Wonder Item Main Room Right 2;wonder;0;0;MQ_BOTTOM_OF_THE_WELL;wonder;All;0;oot_mq
0x0000b;BOTTOM_OF_THE_WELL;Main Room Right 3;OOT MQ Bottom of the Well Wonder Item Main Room Right 3;wonder;0;0;MQ_BOTTOM_OF_THE_WELL;wonder;All;0;oot_mq
0x0000c;BOTTOM_OF_THE_WELL;Main Room Right 4;OOT MQ Bottom of the Well Wonder Item Main Room Right 4;wonder;0;0;MQ_BOTTOM_OF_THE_WELL;wonder;All;0;oot_mq
0x00500;BOTTOM_OF_THE_WELL;Side Room 1;OOT MQ Bottom of the Well Wonder Item Side Room 1;wonder;0;0;MQ_BOTTOM_OF_THE_WELL;wonder;All;0;oot_mq
0x00501;BOTTOM_OF_THE_WELL;Side Room 2;OOT MQ Bottom of the Well Wonder Item Side Room 2;wonder;0;0;MQ_BOTTOM_OF_THE_WELL;wonder;All;0;oot_mq
0x00502;BOTTOM_OF_THE_WELL;Side Room 3;OOT MQ Bottom of the Well Wonder Item Side Room 3;wonder;0;0;MQ_BOTTOM_OF_THE_WELL;wonder;All;0;oot_mq
0x00503;BOTTOM_OF_THE_WELL;Side Room 4;OOT MQ Bottom of the Well Wonder Item Side Room 4;wonder;0;0;MQ_BOTTOM_OF_THE_WELL;wonder;All;0;oot_mq
ZELDA_LETTER;CASTLE_COURTYARD;Zelda's Letter;OOT Zelda's Letter;npc;757;318;CASTLE_COURTYARD;npc;All;0;oot
ZELDA_SONG;CASTLE_COURTYARD;Zelda's Song;OOT Zelda's Song;npc;174;470;CASTLE_COURTYARD;npc;All;0;oot
0x00005;CASTLE_COURTYARD;Mario Painting;OOT Castle Courtyard Wonder Item;wonder;273;205;CASTLE_COURTYARD;wonder;All;0;oot
0x02;DEATH_MOUNTAIN_CRATER;Alcove - Heart Piece;OOT Death Mountain Crater Alcove HP;collectible;470;211;DEATH_MOUNTAIN_CRATER;collectible;All;0;oot
0x08;DEATH_MOUNTAIN_CRATER;Volcano - Heart Piece;OOT Death Mountain Crater Volcano HP;collectible;597;363;DEATH_MOUNTAIN_CRATER;collectible;All;0;oot
SHEIK_FIRE;DEATH_MOUNTAIN_CRATER;Bolero of Fire;OOT Death Mountain Crater Sheik Song;npc;523;436;DEATH_MOUNTAIN_CRATER;npc;Adult;0;oot
0x0e;DEATH_MOUNTAIN_CRATER;Child - Ladder;OOT Death Mountain Crater Scrub Child;scrub;603;200;DEATH_MOUNTAIN_CRATER;scrub;Child;0;oot
0x80;DEATH_MOUNTAIN_CRATER;Soil;OOT Death Mountain Crater GS Soil;gs;490;411;DEATH_MOUNTAIN_CRATER;gs;Child;0;oot
0x87;DEATH_MOUNTAIN_CRATER;Crate;OOT Death Mountain Crater GS Crate;gs;636;57;DEATH_MOUNTAIN_CRATER;gs;Child;0;oot
0x810d;DEATH_MOUNTAIN_CRATER;Pot 1;OOT Death Mountain Crater Pot 1;pot;730;406;DEATH_MOUNTAIN_CRATER;pot;All;0;oot
0x810e;DEATH_MOUNTAIN_CRATER;Pot 2;OOT Death Mountain Crater Pot 2;pot;724;412;DEATH_MOUNTAIN_CRATER;pot;All;0;oot
0x810f;DEATH_MOUNTAIN_CRATER;Pot 3;OOT Death Mountain Crater Pot 3;pot;721;365;DEATH_MOUNTAIN_CRATER;pot;All;0;oot
0x8110;DEATH_MOUNTAIN_CRATER;Pot 4;OOT Death Mountain Crater Pot 4;pot;713;364;DEATH_MOUNTAIN_CRATER;pot;All;0;oot
0x00101;DEATH_MOUNTAIN_CRATER;Child 1;OOT Death Mountain Crater Rupee Child 1;rupee;371;494;DEATH_MOUNTAIN_CRATER;rupee;Child;0;oot
0x00102;DEATH_MOUNTAIN_CRATER;Child 2;OOT Death Mountain Crater Rupee Child 2;rupee;308;413;DEATH_MOUNTAIN_CRATER;rupee;Child;0;oot
0x00103;DEATH_MOUNTAIN_CRATER;Child 3;OOT Death Mountain Crater Rupee Child 3;rupee;308;424;DEATH_MOUNTAIN_CRATER;rupee;Child;0;oot
0x00104;DEATH_MOUNTAIN_CRATER;Child 4;OOT Death Mountain Crater Rupee Child 4;rupee;308;404;DEATH_MOUNTAIN_CRATER;rupee;Child;0;oot
0x00105;DEATH_MOUNTAIN_CRATER;Child 5;OOT Death Mountain Crater Rupee Child 5;rupee;300;410;DEATH_MOUNTAIN_CRATER;rupee;Child;0;oot
0x00106;DEATH_MOUNTAIN_CRATER;Child 6;OOT Death Mountain Crater Rupee Child 6;rupee;301;420;DEATH_MOUNTAIN_CRATER;rupee;Child;0;oot
0x00107;DEATH_MOUNTAIN_CRATER;Child 7;OOT Death Mountain Crater Rupee Child 7;rupee;314;420;DEATH_MOUNTAIN_CRATER;rupee;Child;0;oot
0x00108;DEATH_MOUNTAIN_CRATER;Child 8;OOT Death Mountain Crater Rupee Child 8;rupee;315;410;DEATH_MOUNTAIN_CRATER;rupee;Child;0;oot
0x08112;DEATH_MOUNTAIN_CRATER;Adult 1;OOT Death Mountain Crater Rupee Adult 1;rupee;309;312;DEATH_MOUNTAIN_CRATER;rupee;Adult;0;oot
0x18112;DEATH_MOUNTAIN_CRATER;Adult 2;OOT Death Mountain Crater Rupee Adult 2;rupee;316;318;DEATH_MOUNTAIN_CRATER;rupee;Adult;0;oot
0x28112;DEATH_MOUNTAIN_CRATER;Adult 3;OOT Death Mountain Crater Rupee Adult 3;rupee;303;328;DEATH_MOUNTAIN_CRATER;rupee;Adult;0;oot
0x38112;DEATH_MOUNTAIN_CRATER;Adult 4;OOT Death Mountain Crater Rupee Adult 4;rupee;310;332;DEATH_MOUNTAIN_CRATER;rupee;Adult;0;oot
0x48112;DEATH_MOUNTAIN_CRATER;Adult 5;OOT Death Mountain Crater Rupee Adult 5;rupee;302;318;DEATH_MOUNTAIN_CRATER;rupee;Adult;0;oot
0x58112;DEATH_MOUNTAIN_CRATER;Adult 6;OOT Death Mountain Crater Rupee Adult 6;rupee;316;327;DEATH_MOUNTAIN_CRATER;rupee;Adult;0;oot
0x68112;DEATH_MOUNTAIN_CRATER;Adult 7;OOT Death Mountain Crater Rupee Adult 7;rupee;310;321;DEATH_MOUNTAIN_CRATER;rupee;Adult;0;oot
0x01;DEATH_MOUNTAIN_TRAIL;Bombable Wall - Goron City;OOT Death Mountain Trail Chest;chest;481;377;DEATH_MOUNTAIN_TRAIL;chest;All;1;oot
0x1e;DEATH_MOUNTAIN_TRAIL;Above Cavern - Heart Piece;OOT Death Mountain Trail HP;collectible;44;222;DEATH_MOUNTAIN_TRAIL;collectible;All;0;oot
