OOT_LENS	Fewer Lens Requirements (OoT)
OOT_MQ_GTG_FLAMES	MQ Gerudo Training Grounds Lava Room Walk along Flame Circles
OOT_FORTRESS_JUMPS	Jump up to higher ledges outside Gerudo Fortress
OOT_COLOSSUS_GS_NO_BEAN	Desert Colossus Plateau GS without Bean Plant
OOT_ENTER_JABU	Enter Jabu-Jabu with Head Collision
OOT_JABU_BOSS_HIGH_SWITCH	Jabu Boss Switch without Boomerang or Climb Anywhere
OOT_WATER_REVERSE_RIVER	Water Temple Reverse River with Hookshot Anywhere
OOT_WATER_PIT_GS_CHU	Water Temple Large Pit GS with Bombchu and Climb Anywhere
OOT_WATER_BOSSBOOTS	Water Temple Boss Door with Only Iron Boots
OOT_SHADOW_BOAT_EARLY	Reach Shadow Temple Boat with Climb Anywhere
OOT_SPIRIT_BOSS_CLIMB_NO_HOOK	Reach Twinrova using Climb Anywhere and Hover Boots
OOT_ZR_FALLS_HOOK	Use Hookshot Anywhere to get past the Zora's River Waterfall
OOT_DC_BOULDER	Skip Dodongo Cavern's Boulder using Ageless Hookshot Anywhere
OOT_LAKE_SHORTCUT	Move Between Lake Hylia and Zora's Domain with Ageless Hookshot Anywhere
OOT_JJB_BOXLESS	Access Jabu-Jabu Pre-Boss without a box
OOT_TENT_CHILD	Enter the Gerudo Valley Tent as Child
OOT_WELL_ADULT_TT	Enter Bottom of the Well as Adult with Time Travel
OOT_ADULT_GALLERY_TT	Enter Adult Shooting Gallery as Child with Time Travel
OOT_GTG_CHILD_TT	Enter Gerudo Training Grounds as Child with Time Travel
OOT_REVERSE_DAMPE	Navigate Dampé's Grave in Reverse
OOT_GANON_FAIRY_TT	Ganon's Great Fairy with Age Swap and without Gold Gauntlets
OOT_GANON_CASTLE_ENTRY	Enter Ganon's Castle with Longshot Anywhere
OOT_SHADOW_TEMPLE_STICKS	Enter Shadow Temple with Sticks & Fire Arrows
OOT_WATER_GOLD_SCALE	Enter Water Temple with Golden Scale and Longshot
OOT_COURTYARD_FROM_GANON	Enter Zelda's Courtyard using Age Swap in Ganon's Castle
OOT_HIVE_BOMBCHU	Destroy Beehives using Bombchu (OoT)
OOT_DEKU_WATER_ROOM_SPIKE_NOTHING	Get Past Deku Tree Water Room's Rotating Spike with Nothing
OOT_BOTW_MQ_BACKFLIP	Backflip/Sidehop Over Gap to Reach BotW MQ's Main Room's Center
OOT_FOREST_MQ_CLIMBING_BLOCK_ROOM_TWIST_SWITCH_EARLY	Hit/Reach the Forest MQ Twisting Switch While It Is Blocked
OOT_ICE_CAVERN_ICICLES_STICKS	Use Deku Sticks to Break Ice Cavern Stalagmite Icicles
OOT_MQ_JABU_WITHOUT_COW_SOUL	MQ Jabu without cow soul
MM_LENS	Fewer Lens Requirements (MM)
MM_TUNICS	Fewer Tunic Requirements (MM)
MM_DEKU_STICK_FIGHTING	Deku Stick Fighting
MM_PALACE_BEAN_SKIP	Skip Planting Beans in Deku Palace
MM_DARMANI_WALL	Climb Mountain Village Wall Blind
MM_NO_SEAHORSE	Pinnacle Rock without Seahorse
MM_ZORA_HALL_HUMAN	Swim to Zora Hall as Human
MM_ICELESS_IKANA	Climb Ikana Canyon without Ice Arrows
MM_ONE_MASK_STONE_TOWER	Climb Stone Tower with One Mask
MM_ISTT_EYEGORE	Inverted Stone Tower Temple Early Eyegore
MM_SCT_NOTHING	South Clock Town Chest with Nothing
MM_GORON_BOMB_JUMP	Bomb Jump Fences as Goron
MM_BOMBER_GUESS	Guess Bombers' Code
MM_CAPTAIN_SKIP	Guess Oceanside Spider House Code
MM_ISTT_ENTRY_JUMP	Inverted Stone Tower Temple Long Jump to Death Armos
MM_HARD_HOOKSHOT	Precise Short Hookshot Usage
MM_PFI_BOAT_HOOK	Enter Pirates' Fortress Interior using Hookshot from the Boats
MM_PALACE_GUARD_SKIP	Backflip over Deku Palace Guards
MM_SHT_HOT_WATER	Complete Snowhead Temple using Hot Spring Water
MM_SHT_STICKS_RUN	Access SHT Pillar Fireless with Precise Stick Run
MM_SHT_PILLARLESS	Snowhead Temple Skip Raising Pillar
MM_SHT_PILLAR_ROOM_HOOKSHOT	Snowhead Temple Hookshot Up Pillar Room
MM_KEG_EXPLOSIVES	Use Powder Kegs as Explosives
MM_DOG_RACE_CHEST_NOTHING	Doggy Racetrack Chest with Nothing
MM_MAJORA_LOGIC	Fight Majora to Reset Time
MM_SOUTHERN_SWAMP_SCRUB_HP_GORON	Southern Swamp Scrub HP as Goron
MM_SOUTHERN_SWAMP_SCRUB_HP_BOOMERANG	Southern Swamp Scrub HP with Boomerang
MM_GBC_COW_LIKELIKE_ELEVATOR	Great Bay Coast Cow Grotto LikeLike Elevator
MM_ZORA_HALL_SCRUB_HP_NO_DEKU	Zora Hall Scrub HP without Deku
MM_ZORA_HALL_DOORS	Access the doors in Zora Hall using Short Hookshot Anywhere
MM_IKANA_ROOF_PARKOUR	Jump from Ikana Castle's Roof Interior to Exterior
MM_IKANA_PILLAR_ENTRANCE_FLOAT	Float from Ikana Castle's Roof to Entrance
MM_IKANA_PILLAR_ENTRANCE_JUMP	Jump from Ikana Castle's Roof to Entrance
MM_POST_OFFICE_GAME	Post Office Timing Game without Bunny Hood
MM_WELL_HSW	Well's Hot Spring Water without Killing Dexihand
MM_ISTT_CHUCHU_LESS	ISTT Block Room without Chuchu Jellies
MM_GBT_WATERWHEEL_GORON	Cross GBT Waterwheel Room as Goron
MM_GBT_ENTRANCE_BOW	Great Bay Temple Entrance Chest using only Bow
MM_OOB_MOVEMENT	Walk Along Surfaces Out of Bounds
MM_ST_UPDRAFTS	Stone Tower Updrafts without Deku Mask
MM_ESCAPE_CAGE	Escape the Monkey Cage with Hookshot Anywhere
MM_GBT_FAIRY2_HOOK	GBT First Underwater Fairy with Short Hookshot Anywhere
MM_GBT_CENTRAL_GEYSER	GBT Central Room without Zora using Fire & Ice Arrows or an OoT Magic Spell
MM_BANK_ONE_WALLET	Bank Rewards Require One Less Wallet
MM_BANK_NO_WALLET	Bank Rewards Require No Extra Wallets
MM_CLOCK_TOWER_WAIT	Wait for the Clock Tower to Open When Shuffled
MM_WFT_RUPEES_ICE	Collect the Pillar Rupees in Woodfall Temple using Ice Arrows
MM_ISTT_RUPEES_GORON	Collect the Floating Rupees in ISTT as Goron
MM_BOMBER_BACKFLIP	Backflip over the Bomber in East Clock Town
MM_NCT_TINGLE	Jump Slash Tingle in North Clock Town
MM_GBT_FIRELESS	Great Bay Temple without Fire Arrows
MM_IGOS_DINS	Burn Igos' curtain with Din's Fire
MM_BIO_BABA_CHU	Destroy the Bio Baba Grotto Hives with a Bombchu
MM_BIO_BABA_LUCK	Bio Baba Grotto Lilypad Luck
MM_WF_SHRINE_HOVERS	Woodfall Owl Chest with Hover Boots and Jump Slash
MM_WFT_LOBBY_HOVERS	Woodfall Temple Lobby with Damage Boost and Hover Boots
MM_SOARING_ZORA	Zora Long Jump to the Soaring Tablet
MM_SOARING_HOVERS	Jump Slash or Damage Boost to the Soaring Tablet with Hover Boots and Bunny Hood
MM_LULLABY_SKIP_IRONS	Skip playing Goron Lullaby by using Iron Boots
MM_PATH_SNOWHEAD_HOVERS	Cross Path to Snowhead using Hover Boots
MM_GBT_WATERWHEEL_HOVERS	Cross GBT Waterwheel Room using Hover Boots
MM_GBT_CENTER_POT_IRONS	Great Bay Temple Center Underwater Pot using only Iron Boots
MM_GBT_RED1_HOVERS	Reach the First Red Turnkey in GBT using Hover Boots, Bunny Hood, and a Jump Slash
MM_GBT_GREEN2_UPPER_HOVERS	Reach the Upper Chest in GBT's Second Green Room using Hover Boots
MM_GYORG_IRONS	Fight Gyorg as Human using Iron Boots and Hookshot
MM_STT_LAVA_BLOCK_HOVERS	Stone Tower Temple Map Chest using Hover Boots
MM_ISTT_ENTRY_HOVER	Inverted Stone Tower Temple Death Armos using Hover Boots and Bunny Hood
MM_GYORG_POTS_DIVE	Dive Down for Gyorg's Pots with Blast Mask
MM_STT_POT_BOMBCHU_DIVE	STT Water Room Shallow Pots Dive with Bombchu
MM_STOCK_POT_WAIT	Wait outside Stock Pot Inn's roof for closing
MM_STAGE_LIGHTS_DIN	Light the Zora Hall Stage Lights using Din's Fire, Bow, and Hookshot
MM_RANCH_FARORE	Romani's Ranch locations using Farore's Wind and Time Reset
MM_EVAN_FARORE	Evan's Piece of Heart using Farore's Wind and Time Reset
MM_KEG_TRIAL_HEATLESS	Powder Keg Trial without Thawing Ice using Hookshot Anywhere
MM_KEG_HOOKBUNNY	Powder Keg Trial with only Long Hookshot and Bunny Hood
MM_KEG_HOVERBUNNY	Powder Keg Trial with only Hoverboots and Bunny Hood
MM_STT_LAVA_SWITCH_HAMMER	Stone Tower Temple Lava Room switch without Goron
MM_HIVE_BOMBCHU	Destroy Beehives using Bombchu (MM)
MM_TWINMOLD_BOW	Twinmold with Bow (MM)
MM_TWINMOLD_FIRE_AND_ICE	Twinmold with Fire and Ice Arrows (MM)
MM_KEG_RED_BOULDER	Break Red Boulders using Powder Keg (MM)
MM_GBT_BABA_ENTRY_BOMBCHU	Enter the Bio Baba room by using a precise Bombchu launch.
MM_CAPE_LIKE_LIKE_BOMBCHU	Defeat the waterfall Like Like in Zora Cape by using a precise Bombchu launch.
GLITCH_OOT_EQUIP_SWAP	Equip Swap (OoT)
GLITCH_OOT_OCARINA_ITEMS	Ocarina Items (OoT)
GLITCH_OOT_MEGAFLIP	Megaflips (OoT)
GLITCH_OOT_BROKEN_STICK	Broken Deku Stick (OoT)
