# OoTMM renewable check locations (packages/logic/src/locations.ts
# RENEWABLE_LOCATIONS) and their vanilla item (data/checks/**/*.xml).
# Generated by tools/gen_renewables.py - do not edit by hand.
# types: cow, fairy, fairy-spot, fish, gossip, gossip-big, scrub, shop
# location	vanilla item (empty = random / nothing)
MM Ocean Gossip Grotto Gossip Fairy 1	MM_FAIRY
MM Ocean Gossip Grotto Gossip Fairy 2	MM_FAIRY
MM Ocean Gossip Grotto Gossip Fairy 3	MM_FAIRY
MM Ocean Gossip Grotto Gossip Fairy 4	MM_FAIRY
MM Path to Mountain Village Gossip Big Fairy	MM_FAIRY_BIG
MM Path to Mountain Village Gossip Fairy	MM_FAIRY
MM Road to Ikana Gossip Big Fairy	MM_FAIRY_BIG
MM Road to Ikana Gossip Fairy	MM_FAIRY
MM Road to Southern Swamp Gossip Big Fairy	MM_FAIRY_BIG
MM Road to Southern Swamp Gossip Fairy	MM_FAIRY
MM Romani Ranch Barn Cow Left	MM_MILK
MM Romani Ranch Barn Cow Right Back	MM_MILK
MM Romani Ranch Barn Cow Right Front	MM_MILK
MM Romani Ranch Gossip Big Fairy Behind House	MM_FAIRY_BIG
MM Romani Ranch Gossip Big Fairy Entrance	MM_FAIRY_BIG
MM Romani Ranch Gossip Big Fairy Near Tree	MM_FAIRY_BIG
MM Romani Ranch Gossip Fairy Behind House	MM_FAIRY
MM Romani Ranch Gossip Fairy Entrance	MM_FAIRY
MM Romani Ranch Gossip Fairy Near Tree	MM_FAIRY
MM Southern Swamp Gossip Big Fairy	MM_FAIRY_BIG
MM Southern Swamp Gossip Fairy	MM_FAIRY
MM Southern Swamp Scrub Shop	MM_MAGIC_BEAN
MM Swamp Gossip Grotto Gossip Big Fairy 1	MM_FAIRY_BIG
MM Swamp Gossip Grotto Gossip Big Fairy 2	MM_FAIRY_BIG
MM Swamp Gossip Grotto Gossip Big Fairy 3	MM_FAIRY_BIG
MM Swamp Gossip Grotto Gossip Big Fairy 4	MM_FAIRY_BIG
MM Swamp Gossip Grotto Gossip Fairy 1	MM_FAIRY
MM Swamp Gossip Grotto Gossip Fairy 2	MM_FAIRY
MM Swamp Gossip Grotto Gossip Fairy 3	MM_FAIRY
MM Swamp Gossip Grotto Gossip Fairy 4	MM_FAIRY
MM Swamp Potion Shop Item 1	MM_POTION_BLUE
MM Swamp Potion Shop Item 2	MM_POTION_GREEN
MM Swamp Potion Shop Item 3	MM_POTION_RED
MM Swamp Spider House Gossip Big Fairy	MM_FAIRY_BIG
MM Swamp Spider House Gossip Fairy	MM_FAIRY
MM Termina Field Cow Back	MM_MILK
MM Termina Field Cow Front	MM_MILK
MM Termina Field Gossip Big Fairy Near Kamaro	MM_FAIRY_BIG
MM Termina Field Gossip Big Fairy Near Mountain	MM_FAIRY_BIG
MM Termina Field Gossip Big Fairy Northeast	MM_FAIRY_BIG
MM Termina Field Gossip Big Fairy Observatory	MM_FAIRY_BIG
MM Termina Field Gossip Big Fairy Southeast	MM_FAIRY_BIG
MM Termina Field Gossip Big Fairy Southwest	MM_FAIRY_BIG
MM Termina Field Gossip Fairy Near Kamaro	MM_FAIRY
MM Termina Field Gossip Fairy Near Mountain	MM_FAIRY
MM Termina Field Gossip Fairy Northeast	MM_FAIRY
MM Termina Field Gossip Fairy Observatory	MM_FAIRY
MM Termina Field Gossip Fairy Southeast	MM_FAIRY
MM Termina Field Gossip Fairy Southwest	MM_FAIRY
MM Tingle Map Clock Town	MM_WORLD_MAP_CLOCK_TOWN
MM Tingle Map Great Bay	MM_WORLD_MAP_GREAT_BAY
MM Tingle Map Ikana	MM_WORLD_MAP_STONE_TOWER
MM Tingle Map Ranch	MM_WORLD_MAP_ROMANI_RANCH
MM Tingle Map Snowhead	MM_WORLD_MAP_SNOWHEAD
MM Tingle Map Woodfall	MM_WORLD_MAP_WOODFALL
MM Trading Post Item 1	MM_POTION_RED
MM Trading Post Item 2	MM_POTION_GREEN
MM Trading Post Item 3	MM_SHIELD_HERO
MM Trading Post Item 4	MM_FAIRY
MM Trading Post Item 5	MM_STICK
MM Trading Post Item 6	MM_ARROWS_10
MM Trading Post Item 7	MM_NUTS_10
MM Trading Post Item 8	MM_ARROWS_30
MM Zora Cape Gossip Big Fairy	MM_FAIRY_BIG
MM Zora Cape Gossip Fairy	MM_FAIRY
MM Zora Hall Scrub Shop	MM_POTION_GREEN
MM Zora Shop Item 1	MM_SHIELD_HERO
MM Zora Shop Item 2	MM_ARROWS_10
MM Zora Shop Item 3	MM_POTION_RED
OOT Bottom of the Well Basement Big Fairy	OOT_FAIRY_BIG
OOT Death Mountain Crater Generic Grotto Gossip Big Fairy	OOT_FAIRY_BIG
OOT Death Mountain Crater Generic Grotto Gossip Fairy	OOT_FAIRY
OOT Death Mountain Crater Gossip Big Fairy	OOT_FAIRY_BIG
OOT Death Mountain Crater Gossip Fairy	OOT_FAIRY
OOT Death Mountain Crater Grotto Center Scrub	OOT_DEKU_SEEDS_30
OOT Death Mountain Crater Grotto Left Scrub	OOT_NUTS_5
OOT Death Mountain Crater Grotto Right Scrub	OOT_BOMBS_5
OOT Death Mountain Crater Scrub Child	OOT_BOMBS_5
OOT Death Mountain Trail Big Fairy	OOT_FAIRY_BIG
OOT Death Mountain Trail Cow	OOT_MILK
OOT Death Mountain Trail Cow Grotto Big Fairy	OOT_FAIRY_BIG
OOT Death Mountain Trail Gossip Big Fairy	OOT_FAIRY_BIG
OOT Death Mountain Trail Gossip Fairy	OOT_FAIRY
OOT Death Mountain Trail Storms Grotto Gossip Big Fairy	OOT_FAIRY_BIG
OOT Death Mountain Trail Storms Grotto Gossip Fairy	OOT_FAIRY
OOT Desert Colossus Gossip Big Fairy	OOT_FAIRY_BIG
OOT Desert Colossus Gossip Fairy	OOT_FAIRY
OOT Desert Colossus Grotto Back Scrub	OOT_POTION_RED
OOT Desert Colossus Grotto Front Scrub	OOT_POTION_GREEN
OOT Desert Colossus Oasis Fairy 1	OOT_FAIRY
OOT Desert Colossus Oasis Fairy 2	OOT_FAIRY
OOT Desert Colossus Oasis Fairy 3	OOT_FAIRY
OOT Desert Colossus Oasis Fairy 4	OOT_FAIRY
OOT Desert Colossus Oasis Fairy 5	OOT_FAIRY
OOT Desert Colossus Oasis Fairy 6	OOT_FAIRY
OOT Desert Colossus Oasis Fairy 7	OOT_FAIRY
OOT Desert Colossus Oasis Fairy 8	OOT_FAIRY
OOT Dodongo Cavern Bomb Bag Side Room Left Scrub	OOT_NUTS_5
OOT Dodongo Cavern Bomb Bag Side Room Right Scrub	OOT_DEKU_SEEDS_30
OOT Dodongo Cavern Gossip Big Fairy	OOT_FAIRY_BIG
OOT Dodongo Cavern Gossip Fairy	OOT_FAIRY
OOT Dodongo Cavern Green Side Room Scrub	OOT_STICK
OOT Dodongo Cavern Lobby Scrub	OOT_SHIELD_DEKU
OOT Fishing Pond Adult Fish 1	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 10	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 11	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 12	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 13	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 14	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 15	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 2	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 3	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 4	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 5	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 6	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 7	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 8	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Fish 9	OOT_FISHING_POND_ADULT_FISH
OOT Fishing Pond Adult Loach	OOT_FISHING_POND_ADULT_LOACH
OOT Fishing Pond Child Fish 1	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 10	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 11	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 12	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 13	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 14	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 15	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 2	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 3	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 4	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 5	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 6	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 7	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 8	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Fish 9	OOT_FISHING_POND_CHILD_FISH
OOT Fishing Pond Child Loach 1	OOT_FISHING_POND_CHILD_LOACH
OOT Fishing Pond Child Loach 2	OOT_FISHING_POND_CHILD_LOACH
OOT Ganon Castle Fairy Fountain Fairy 1	OOT_FAIRY
OOT Ganon Castle Fairy Fountain Fairy 2	OOT_FAIRY
OOT Ganon Castle Fairy Fountain Fairy 3	OOT_FAIRY
OOT Ganon Castle Fairy Fountain Fairy 4	OOT_FAIRY
OOT Ganon Castle Fairy Fountain Fairy 5	OOT_FAIRY
OOT Ganon Castle Fairy Fountain Fairy 6	OOT_FAIRY
OOT Ganon Castle Fairy Fountain Fairy 7	OOT_FAIRY
OOT Ganon Castle Fairy Fountain Fairy 8	OOT_FAIRY
OOT Ganon Castle Left-Center Scrub	OOT_BOMBS_5
OOT Ganon Castle Leftmost Scrub	OOT_POTION_GREEN
OOT Ganon Castle Right-Center Scrub	OOT_ARROWS_10
OOT Ganon Castle Rightmost Scrub	OOT_POTION_RED
OOT Ganon Castle Spirit Big Fairy	OOT_FAIRY_BIG
OOT Gerudo Fortress Fairy Fountain Fairy 1	OOT_FAIRY
OOT Gerudo Fortress Fairy Fountain Fairy 2	OOT_FAIRY
OOT Gerudo Fortress Fairy Fountain Fairy 3	OOT_FAIRY
OOT Gerudo Fortress Fairy Fountain Fairy 4	OOT_FAIRY
OOT Gerudo Fortress Fairy Fountain Fairy 5	OOT_FAIRY
OOT Gerudo Fortress Fairy Fountain Fairy 6	OOT_FAIRY
OOT Gerudo Fortress Fairy Fountain Fairy 7	OOT_FAIRY
OOT Gerudo Fortress Fairy Fountain Fairy 8	OOT_FAIRY
OOT Gerudo Fortress Kitchen Big Fairy	OOT_FAIRY_BIG
OOT Gerudo Training Grounds Entrance Big Fairy	OOT_FAIRY_BIG
OOT Gerudo Valley Cow	OOT_MILK
OOT Gerudo Valley Gossip Big Fairy	OOT_FAIRY_BIG
OOT Gerudo Valley Gossip Fairy	OOT_FAIRY
OOT Gerudo Valley Grotto Back Scrub	OOT_POTION_RED
OOT Gerudo Valley Grotto Front Scrub	OOT_POTION_GREEN
OOT Goron City Gossip Big Fairy Maze	OOT_FAIRY_BIG
OOT Goron City Gossip Big Fairy Medigoron	OOT_FAIRY_BIG
OOT Goron City Gossip Fairy Maze	OOT_FAIRY
OOT Goron City Gossip Fairy Medigoron	OOT_FAIRY
OOT Goron City Grotto Center Scrub	OOT_DEKU_SEEDS_30
OOT Goron City Grotto Left Scrub	OOT_NUTS_5
OOT Goron City Grotto Right Scrub	OOT_BOMBS_5
OOT Goron Shop Item 1	OOT_RECOVERY_HEART
OOT Goron Shop Item 2	OOT_RECOVERY_HEART
OOT Goron Shop Item 3	OOT_POTION_RED
OOT Goron Shop Item 4	OOT_TUNIC_GORON
OOT Goron Shop Item 5	OOT_BOMBS_5
OOT Goron Shop Item 6	OOT_BOMBS_10
OOT Goron Shop Item 7	OOT_BOMBS_20
OOT Goron Shop Item 8	OOT_BOMBS_30
OOT Graveyard Fairy Fountain Fairy 1	OOT_FAIRY
OOT Graveyard Fairy Fountain Fairy 2	OOT_FAIRY
OOT Graveyard Fairy Fountain Fairy 3	OOT_FAIRY
OOT Graveyard Fairy Fountain Fairy 4	OOT_FAIRY
OOT Graveyard Fairy Fountain Fairy 5	OOT_FAIRY
OOT Graveyard Fairy Fountain Fairy 6	OOT_FAIRY
OOT Graveyard Fairy Fountain Fairy 7	OOT_FAIRY
OOT Graveyard Fairy Fountain Fairy 8	OOT_FAIRY
OOT Graveyard Gossip Big Fairy	OOT_FAIRY_BIG
OOT Graveyard Gossip Fairy	OOT_FAIRY
OOT Graveyard Royal Tomb Big Fairy	OOT_FAIRY_BIG
OOT Haunted Wasteland Carpet Merchant	OOT_BOMBCHU_20
OOT Hyrule Castle Gossip Big Fairy Near Castle	OOT_FAIRY_BIG
OOT Hyrule Castle Gossip Big Fairy Near Entrance	OOT_FAIRY_BIG
OOT Hyrule Castle Gossip Fairy Near Castle	OOT_FAIRY
OOT Hyrule Castle Gossip Fairy Near Entrance	OOT_FAIRY
OOT Hyrule Castle Grotto Gossip Big Fairy	OOT_FAIRY_BIG
OOT Hyrule Castle Grotto Gossip Fairy	OOT_FAIRY
OOT Hyrule Field Cow	OOT_MILK
OOT Hyrule Field Cow Grotto Gossip Big Fairy	OOT_FAIRY_BIG
OOT Hyrule Field Cow Grotto Gossip Fairy	OOT_FAIRY
OOT Hyrule Field Fairy Fountain Fairy 1	OOT_FAIRY
OOT Hyrule Field Fairy Fountain Fairy 2	OOT_FAIRY
OOT Hyrule Field Fairy Fountain Fairy 3	OOT_FAIRY
OOT Hyrule Field Fairy Fountain Fairy 4	OOT_FAIRY
OOT Hyrule Field Fairy Fountain Fairy 5	OOT_FAIRY
OOT Hyrule Field Fairy Fountain Fairy 6	OOT_FAIRY
OOT Hyrule Field Fairy Fountain Fairy 7	OOT_FAIRY
OOT Hyrule Field Fairy Fountain Fairy 8	OOT_FAIRY
OOT Hyrule Field Grotto Scrub Big Fairy	OOT_FAIRY_BIG
OOT Hyrule Field Grotto Scrub HP	OOT_HEART_PIECE
OOT Hyrule Field Market Grotto Gossip Big Fairy	OOT_FAIRY_BIG
OOT Hyrule Field Market Grotto Gossip Fairy	OOT_FAIRY
OOT Hyrule Field Open Grotto Gossip Big Fairy	OOT_FAIRY_BIG
OOT Hyrule Field Open Grotto Gossip Fairy	OOT_FAIRY
OOT Hyrule Field River Big Fairy	OOT_FAIRY_BIG
OOT Hyrule Field Southeast Grotto Gossip Big Fairy	OOT_FAIRY_BIG
OOT Hyrule Field Southeast Grotto Gossip Fairy	OOT_FAIRY
OOT Ice Cavern Entrance Big Fairy	OOT_FAIRY_BIG
OOT Jabu-Jabu Scrub	OOT_NUTS_5
OOT Kakariko Bazaar Item 1	OOT_ARROWS_5
OOT Kakariko Bazaar Item 2	OOT_ARROWS_10
OOT Kakariko Bazaar Item 3	OOT_ARROWS_30
OOT Kakariko Bazaar Item 4	OOT_STICK
OOT Kakariko Bazaar Item 5	OOT_BOMBS_5
OOT Kakariko Bazaar Item 6	OOT_RECOVERY_HEART
OOT Kakariko Bazaar Item 7	OOT_NUTS_5
OOT Kakariko Bazaar Item 8	OOT_SHIELD_HYLIAN
OOT Kakariko Cow	OOT_MILK
OOT Kakariko Generic Grotto Gossip Big Fairy	OOT_FAIRY_BIG
OOT Kakariko Generic Grotto Gossip Fairy	OOT_FAIRY
OOT Kakariko Potion Shop Buy Blue Potion	OOT_POTION_BLUE
OOT Kakariko Potion Shop Item 1	OOT_FISH
OOT Kakariko Potion Shop Item 2	OOT_BUGS
OOT Kakariko Potion Shop Item 3	OOT_POE
OOT Kakariko Potion Shop Item 4	OOT_NUTS_5
OOT Kakariko Potion Shop Item 5	OOT_BLUE_FIRE
OOT Kakariko Potion Shop Item 6	OOT_FAIRY
OOT Kakariko Potion Shop Item 7	OOT_POTION_GREEN
OOT Kakariko Potion Shop Item 8	OOT_POTION_RED
OOT Kokiri Forest Cow	OOT_MILK
OOT Kokiri Forest Gossip Big Fairy Near Deku Tree 1	OOT_FAIRY_BIG
OOT Kokiri Forest Gossip Big Fairy Near Deku Tree 2	OOT_FAIRY_BIG
OOT Kokiri Forest Gossip Big Fairy Near Lost Woods	OOT_FAIRY_BIG
OOT Kokiri Forest Gossip Fairy Near Deku Tree 1	OOT_FAIRY
OOT Kokiri Forest Gossip Fairy Near Deku Tree 2	OOT_FAIRY
OOT Kokiri Forest Gossip Fairy Near Lost Woods	OOT_FAIRY
OOT Kokiri Forest Storms Grotto Gossip Big Fairy	OOT_FAIRY_BIG
OOT Kokiri Forest Storms Grotto Gossip Fairy	OOT_FAIRY
OOT Kokiri Shop Item 1	OOT_RECOVERY_HEART
OOT Kokiri Shop Item 2	OOT_ARROWS_10
OOT Kokiri Shop Item 3	OOT_ARROWS_30
OOT Kokiri Shop Item 4	OOT_DEKU_SEEDS_30
OOT Kokiri Shop Item 5	OOT_NUTS_5
OOT Kokiri Shop Item 6	OOT_NUTS_10
OOT Kokiri Shop Item 7	OOT_STICK
OOT Kokiri Shop Item 8	OOT_SHIELD_DEKU
OOT Lake Hylia Gossip Big Fairy Land	OOT_FAIRY_BIG
OOT Lake Hylia Gossip Big Fairy Water East	OOT_FAIRY_BIG
OOT Lake Hylia Gossip Big Fairy Water West	OOT_FAIRY_BIG
OOT Lake Hylia Gossip Fairy Land	OOT_FAIRY
OOT Lake Hylia Gossip Fairy Water East	OOT_FAIRY
OOT Lake Hylia Gossip Fairy Water West	OOT_FAIRY
OOT Lake Hylia Grotto Center Scrub	OOT_DEKU_SEEDS_30
OOT Lake Hylia Grotto Left Scrub	OOT_NUTS_5
OOT Lake Hylia Grotto Right Scrub	OOT_BOMBS_5
OOT Lake Hylia Island Big Fairy	OOT_FAIRY_BIG
OOT Lon Lon Ranch Grotto Center Scrub	OOT_DEKU_SEEDS_30
OOT Lon Lon Ranch Grotto Left Scrub	OOT_NUTS_5
OOT Lon Lon Ranch Grotto Right Scrub	OOT_BOMBS_5
OOT Lon Lon Ranch Silo Cow Back	OOT_MILK
OOT Lon Lon Ranch Silo Cow Front	OOT_MILK
OOT Lon Lon Ranch Stables Cow Left	OOT_MILK
OOT Lon Lon Ranch Stables Cow Right	OOT_MILK
OOT Lon Lon Ranch Talon Buy Milk	OOT_MILK
OOT Lost Woods Generic Grotto Gossip Big Fairy	OOT_FAIRY_BIG
OOT Lost Woods Generic Grotto Gossip Fairy	OOT_FAIRY
OOT Lost Woods Gossip Big Fairy	OOT_FAIRY_BIG
OOT Lost Woods Gossip Fairy	OOT_FAIRY
OOT Lost Woods Grotto Scrub Back	OOT_DEKU_SEEDS_30
OOT Lost Woods Grotto Scrub Big Fairy	OOT_FAIRY_BIG
OOT Lost Woods Grotto Scrub Nuts Upgrade	OOT_NUT_UPGRADE
OOT Lost Woods Pool Big Fairy	OOT_FAIRY_BIG
OOT Lost Woods Scrub Near Theater Left	OOT_STICK
OOT Lost Woods Scrub Near Theater Right	OOT_NUTS_5
OOT Lost Woods Scrub Sticks Upgrade	OOT_STICK_UPGRADE
OOT MQ Bottom of the Well Basement Big Fairy	OOT_FAIRY_BIG
OOT MQ Bottom of the Well Lobby Cage Big Fairy	OOT_FAIRY_BIG
OOT MQ Deku Tree Scrub	OOT_SHIELD_DEKU
OOT MQ Dodongo Cavern Gossip Big Fairy	OOT_FAIRY_BIG
OOT MQ Dodongo Cavern Gossip Fairy	OOT_FAIRY
OOT MQ Dodongo Cavern Lobby Scrub Back	OOT_STICK
OOT MQ Dodongo Cavern Lobby Scrub Front	OOT_DEKU_SEEDS_30
OOT MQ Dodongo Cavern Staircase Scrub	OOT_POTION_RED
OOT MQ Dodongo Cavern Tunnel Side Scrub	OOT_SHIELD_DEKU
OOT MQ Fire Temple Hammer Loop Iron Knuckle Big Fairy	OOT_FAIRY_BIG
OOT MQ Fire Temple Hammer Loop Stalfos Big Fairy	OOT_FAIRY_BIG
OOT MQ Ganon Castle Center Scrub	OOT_ARROWS_10
OOT MQ Ganon Castle Fairy Fountain Fairy 1	OOT_FAIRY
OOT MQ Ganon Castle Fairy Fountain Fairy 2	OOT_FAIRY
OOT MQ Ganon Castle Fairy Fountain Fairy 3	OOT_FAIRY
OOT MQ Ganon Castle Fairy Fountain Fairy 4	OOT_FAIRY
OOT MQ Ganon Castle Fairy Fountain Fairy 5	OOT_FAIRY
OOT MQ Ganon Castle Fairy Fountain Fairy 6	OOT_FAIRY
OOT MQ Ganon Castle Fairy Fountain Fairy 7	OOT_FAIRY
OOT MQ Ganon Castle Fairy Fountain Fairy 8	OOT_FAIRY
