ID;Name;Render_Type;Can_Be_Shared;;;;
MM_BOTTLE_POE;Bottled Poe (MM);bottled_poe;true;;;;
MM_BOTTLE_POTION_BLUE;Bottle of Blue Potion (MM);blue_potion;true;;;;
MM_BOTTLE_POTION_GREEN;Bottle of Green Potion (MM);green_potion;true;;;;
MM_BOTTLE_POTION_RED;Bottle of Red Potion (MM);red_potion;true;;;;
MM_BOTTLE_RUTO_LETTER;Ruto's Letter;ruto;true;;;;
MM_BOTTLED_GOLD_DUST;Bottle of Gold Dust;dust;true;;;;
MM_BOW;Hero's Bow (MM);bow_mm;true;;;;
MM_BUGS;Bugs (MM);bottled_bugs;true;;;;
MM_BUTTON_A;A Button (MM);a_button;true;;;;
MM_BUTTON_C_DOWN;C-Down Button (MM);c_down;true;;;;
MM_BUTTON_C_LEFT;C-Left Button (MM);c_left;true;;;;
MM_BUTTON_C_RIGHT;C-Right Button (MM);c_right;true;;;;
MM_BUTTON_C_UP;C-Up Button (MM);c_up;true;;;;
MM_CHATEAU;Chateau Romani Refill (MM);chateau;true;;;;
MM_CLOCK;Progressive Clock;clock_d1;false;;;;
MM_CLOCK1;Clock (Day 1);clock_d1;false;;;;
MM_CLOCK2;Clock (Night 1);clock_n1;false;;;;
MM_CLOCK3;Clock (Day 2);clock_d2;false;;;;
MM_CLOCK4;Clock (Night 2);clock_n2;false;;;;
MM_CLOCK5;Clock (Day 3);clock_d3;false;;;;
MM_CLOCK6;Clock (Night 3);clock_n3;false;;;;
MM_COMPASS;Compass (MM);compass;false;;;;
MM_COMPASS_GB;Compass (Great Bay Temple);compass;false;;;;
MM_COMPASS_SH;Compass (Snowhead Temple);compass;false;;;;
MM_COMPASS_ST;Compass (Stone Tower Temple);compass;false;;;;
MM_COMPASS_WF;Compass (Woodfall Temple);compass;false;;;;
MM_DEED_LAND;Land Title Deed;land;false;;;;
MM_DEED_MOUNTAIN;Mountain Title Deed;mountain;false;;;;
MM_DEED_OCEAN;Ocean Title Deed;ocean;false;;;;
MM_DEED_SWAMP;Swamp Title Deed;swamp;false;;;;
MM_DEFENSE_UPGRADE;Double Defense (MM);defense;true;;;;
MM_FAIRY;Fairy (MM);bottled_fairy;true;;;;
MM_FAIRY_BIG;Big Fairy (MM);fairy;true;;;;
MM_FISH;Fish (MM);bottled_fish;true;;;;
MM_GOLD_DUST;Gold Dust;dust;true;;;;
MM_GOLDEN_GAUNTLETS;Golden Gauntlets (MM);golden_gauntlet;true;;;;
MM_GORON_BRACELET;Goron's Bracelet (MM);bracelet;true;;;;
MM_GREAT_FAIRY_SWORD;Great Fairy's Sword;fairy_sword;true;;;;
MM_GS_TOKEN_OCEAN;Ocean Skulltula Token;ocean_token;false;;;;
MM_GS_TOKEN_SWAMP;Swamp Skulltula Token;swamp_token;false;;;;
MM_HAMMER;Megaton Hammer (MM);hammer;true;;;;
MM_HEART_CONTAINER;Heart Container (MM);heart_container;true;;;;
MM_HEART_PIECE;Piece of Heart (MM);heart_piece;true;;;;
MM_HOOKSHOT;Hookshot (MM);hookshot_mm;true;;;;
MM_HOOKSHOT_SHORT;Short Hookshot (MM);hookshot_oot;true;;;;
MM_KEY_RING;Key Ring (MM);key_ring;false;;;;
MM_KEY_RING_GB;Key Ring (Great Bay);key_ring;false;;;;
MM_KEY_RING_SH;Key Ring (Snowhead);key_ring;false;;;;
MM_KEY_RING_ST;Key Ring (Stone Tower);key_ring;false;;;;
MM_KEY_RING_WF;Key Ring (Woodfall);key_ring;false;;;;
MM_LENS;Lens of Truth (MM);lens;true;;;;
MM_LETTER_TO_KAFEI;Letter to Kafei;letter_kafei;false;;;;
MM_LETTER_TO_MAMA;Letter to Mama;letter_mama;false;;;;
MM_MAGIC_BEAN;Magic Bean (MM);bean;false;;;;
MM_MAGIC_JAR_LARGE;Large Magic Jar (MM);double_magic;true;;;;
MM_MAGIC_JAR_SMALL;Small Magic Jar (MM);magic;true;;;;
MM_MAGIC_UPGRADE;Magic Upgrade (MM);magic_upgrade;true;;;;
MM_MAGIC_UPGRADE2;Larger Magic Upgrade (MM);large_magic_upgrade;true;;;;
MM_MAP;Map (MM);map;false;;;;
MM_MAP_GB;Map (Great Bay Temple);map;false;;;;
MM_MAP_SH;Map (Snowhead Temple);map;false;;;;
MM_MAP_ST;Map (Stone Tower Temple);map;false;;;;
MM_MAP_WF;Map (Woodfall Temple);map;false;;;;
MM_MASK_ALL_NIGHT;All-Night Mask;night;false;;;;
MM_MASK_BLAST;Blast Mask (MM);blast;true;;;;
MM_MASK_BREMEN;Bremen Mask;bremen;false;;;;
MM_MASK_BUNNY;Bunny Hood (MM);bunny;true;;;;
MM_MASK_CAPTAIN;Captain's Hat;captain;false;;;;
MM_MASK_COUPLE;Couple's Mask;couple;false;;;;
MM_MASK_DEKU;Deku Mask;deku;false;;;;
MM_MASK_DON_GERO;Don Gero's Mask;gero;false;;;;
MM_MASK_FIERCE_DEITY;Fierce Deity's Mask;deity;false;;;;
MM_MASK_GARO;Garo's Mask;garo;false;;;;
MM_MASK_GIANT;Giant's Mask;giant;false;;;;
MM_MASK_GIBDO;Gibdo Mask;gibdo;false;;;;
MM_MASK_GORON;Goron Mask (MM);goron;true;;;;
MM_MASK_GREAT_FAIRY;Great Fairy's Mask;fairy_mask;false;;;;
MM_MASK_KAFEI;Kafei's Mask;kafei;false;;;;
MM_MASK_KAMARO;Kamaro's Mask (MM);kamaro;true;;;;
MM_MASK_KEATON;Keaton Mask (MM);keaton;true;;;;
MM_MASK_MAJORA;Majora's Mask;mask;false;;;;
MM_MASK_POSTMAN;Postman's Hat;postman;false;;;;
MM_MASK_ROMANI;Romani's Mask;romani;false;;;;
MM_MASK_SCENTS;Mask of Scents;scents;false;;;;
MM_MASK_STONE;Stone Mask (MM);stone;true;;;;
MM_MASK_TROUPE_LEADER;Circus Leader's Mask;troupe;false;;;;
MM_MASK_TRUTH;Mask of Truth (MM);truth;true;;;;
MM_MASK_ZORA;Zora Mask (MM);zora;true;;;;
MM_MILK;Romani Milk;milk;true;;;;
MM_MOON_TEAR;Moon's Tear;moon;false;;;;
MM_NUT;Nut (MM);nut;true;;;;
MM_NUT_UPGRADE;Deku Nut Upgrade (MM);nut_upgrade_1;true;;;;
MM_NUT_UPGRADE2;Second Deku Nut Upgrade (MM);nut_upgrade_2;true;;;;
MM_NUTS_10;10 Deku Nuts (MM);nut;true;;;;
MM_NUTS_5;5 Deku Nuts (MM);nut;true;;;;
MM_OCARINA;Ocarina (MM);ocarina;true;;;;
MM_OCARINA_FAIRY;Fairy Ocarina (MM);fairy_ocarina;true;;;;
MM_OCARINA_OF_TIME;Ocarina of Time (MM);ocarina;true;;;;
MM_OWL_CLOCK_TOWN;Owl Statue (Clock Town);owl;false;;;;
MM_OWL_GREAT_BAY;Owl Statue (Great Bay);owl;false;;;;
MM_OWL_HIDDEN;Owl Statue (Hidden);owl;false;;;;
MM_OWL_IKANA_CANYON;Owl Statue (Ikana Canyon);owl;false;;;;
MM_OWL_MILK_ROAD;Owl Statue (Milk Road);owl;false;;;;
MM_OWL_MOUNTAIN_VILLAGE;Owl Statue (Mountain Village);owl;false;;;;
MM_OWL_SNOWHEAD;Owl Statue (Snowhead);owl;false;;;;
MM_OWL_SOUTHERN_SWAMP;Owl Statue (Southern Swamp);owl;false;;;;
MM_OWL_STONE_TOWER;Owl Statue (Stone Tower);owl;false;;;;
MM_OWL_WOODFALL;Owl Statue (Woodfall);owl;false;;;;
MM_OWL_ZORA_CAPE;Owl Statue (Zora Cape);owl;false;;;;
MM_PENDANT_OF_MEMORIES;Pendant of Memories;pendant;false;;;;
MM_PICTOGRAPH_BOX;Pictograph Box;picto;false;;;;
MM_PLATINUM_TOKEN;Platinum Token (MM);platinum_token;true;;;;
MM_POE;Poe (MM);bottled_poe;true;;;;
MM_POTION_BLUE;Blue Potion (MM);blue_potion;true;;;;
MM_POTION_GREEN;Green Potion (MM);green_potion;true;;;;
MM_POTION_RED;Red Potion (MM);red_potion;true;;;;
MM_POWDER_KEG;Powder Keg (MM);powder;true;;;;
MM_PROGRESSIVE_SHIELD_DEKU;Progressive Deku Shield (MM);deku_shield;true;;;;
MM_PROGRESSIVE_SHIELD_HERO;Progressive Hero's Shield;hero_shield;true;;;;
MM_QUIVER2;Big Quiver (MM);big_quiver;true;;;;
MM_QUIVER3;Biggest Quiver (MM);biggest_quiver;true;;;;
MM_RECOVERY_HEART;Recovery Heart (MM);heart;true;;;;
MM_REMAINS_GOHT;Goht's Remains;goht;false;;;;
MM_REMAINS_GYORG;Gyorg's Remains;gyorg;false;;;;
MM_REMAINS_ODOLWA;Odolwa's Remains;odolwa;false;;;;
MM_REMAINS_TWINMOLD;Twinmold's Remains;twinmold;false;;;;
MM_ROOM_KEY;Room Key;key;false;;;;
MM_RUPEE_BLUE;Blue Rupee (MM);blue_rupee;true;;;;
MM_RUPEE_GOLD;Gold Rupee (MM);gold_rupee;true;;;;
MM_RUPEE_GREEN;Green Rupee (MM);rupee;true;;;;
MM_RUPEE_PURPLE;Purple Rupee (MM);purple_rupee;true;;;;
MM_RUPEE_RED;Red Rupee (MM);red_rupee;true;;;;
MM_RUPEE_RED_10;Red Rupee (MM);red_rupee;true;;;;
MM_RUPEE_SILVER;Silver Rupee (MM);sr;true;;;;
MM_SCALE;Progressive Scale (MM);bronze_scale;true;;;;
MM_SCALE_BRONZE;Bronze Scale (MM);bronze_scale;true;;;;
MM_SCALE_GOLDEN;Golden Scale (MM);golden;true;;;;
MM_SCALE_SILVER;Silver Scale (MM);silver;true;;;;
MM_SCOOP;MM Scoop;none;false;;;;
MM_SEAHORSE2;Seahorse;seahorse;false;;;;
MM_SHIELD;Progressive Shield (MM);hero_shield;true;;;;
MM_SHIELD_DEKU;Deku Shield (MM);deku_shield;true;;;;
MM_SHIELD_HERO;Hero's Shield;hero_shield;true;;;;
MM_SHIELD_MIRROR;Mirror Shield (MM);mirror_mm;true;;;;
MM_SILVER_GAUNTLETS;Silver Gauntlets (MM);silver_gauntlet;true;;;;
MM_SKELETON_KEY;Skeleton Key (MM);skeleton_key;true;;;;
MM_SMALL_KEY;Small Key (MM);small_key;false;;;;
MM_SMALL_KEY_GB;Small Key (Great Bay Temple);small_key;false;;;;
MM_SMALL_KEY_SH;Small Key (Snowhead Temple);small_key;false;;;;
MM_SMALL_KEY_ST;Small Key (Stone Tower Temple);small_key;false;;;;
MM_SMALL_KEY_WF;Small Key (Woodfall Temple);small_key;false;;;;
MM_SOLD_OUT;Sold Out;none;false;;;;
MM_SONG_AWAKENING;Sonata of Awakening (MM);song_green;true;;;;
MM_SONG_EMPTINESS;Elegy of Emptiness (MM);song_orange;true;;;;
MM_SONG_EPONA;Epona's Song (MM);song;true;;;;
MM_SONG_GORON;Goron Lullaby (MM);song_red;true;;;;
MM_SONG_GORON_HALF;Progressive Goron Lullaby (MM);song_red;true;;;;
MM_SONG_HEALING;Song of Healing (MM);song;true;;;;
MM_SONG_NOTE_AWAKENING;Note from Sonata of Awakening (MM);song_green;true;;;;
MM_SONG_NOTE_EMPTINESS;Note from Elegy of Emptiness (MM);song_orange;true;;;;
MM_SONG_NOTE_EPONA;Note from Epona's Song (MM);song;true;;;;
MM_SONG_NOTE_GORON;Note from Goron Lullaby (MM);song_red;true;;;;
MM_SONG_NOTE_HEALING;Note from Song of Healing (MM);song;true;;;;
MM_SONG_NOTE_ORDER;Note from Oath to Order (MM);song_purple;true;;;;
MM_SONG_NOTE_SOARING;Note from Song of Soaring (MM);song;true;;;;
MM_SONG_NOTE_STORMS;Note from Song of Storms (MM);song;true;;;;
MM_SONG_NOTE_SUN;Note from Sun's Song (MM);song;true;;;;
MM_SONG_NOTE_TIME;Note from Song of Time (MM);song;true;;;;
MM_SONG_NOTE_ZORA;Note from New Wave Bossa Nova (MM);song_blue;true;;;;
MM_SONG_ORDER;Oath to Order (MM);song_purple;true;;;;
MM_SONG_SOARING;Song of Soaring (MM);song;true;;;;
MM_SONG_STORMS;Song of Storms (MM);song;true;;;;
MM_SONG_SUN;Sun's Song (MM);song;true;;;;
MM_SONG_TIME;Song of Time (MM);song;true;;;;
MM_SONG_ZORA;New Wave Bossa Nova (MM);song_blue;true;;;;
MM_SOUL_ANIMAL_BUTTERFLY;Soul of Butterflies (MM);soul_of_animal;true;;;;
MM_SOUL_ANIMAL_COW;Soul of Cows (MM);soul_of_animal;true;;;;
MM_SOUL_ANIMAL_CUCCO;Soul of Cuccos (MM);soul_of_animal;true;;;;
MM_SOUL_ANIMAL_DOG;Sould of Dogs (MM);soul_of_animal;true;;;;
MM_SOUL_BOSS_GOHT;Soul of Goht;soul_of_boss;false;;;;
MM_SOUL_BOSS_GYORG;Soul of Gyorg;soul_of_boss;false;;;;
MM_SOUL_BOSS_IGOS;Soul of Igos;soul_of_boss;false;;;;
MM_SOUL_BOSS_ODOLWA;Soul of Odolwa;soul_of_boss;false;;;;
MM_SOUL_BOSS_TWINMOLD;Soul of Twinmold;soul_of_boss;false;;;;
MM_SOUL_ENEMY_ARMOS;Soul of Armos (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_BAD_BAT;Soul of Bad Bats;soul_of_foe;false;;;;
MM_SOUL_ENEMY_BEAMOS;Soul of Beamos (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_BIO_BABA;Soul of Bio Babas;soul_of_foe;false;;;;
MM_SOUL_ENEMY_BOE;Soul of Boes;soul_of_foe;false;;;;
MM_SOUL_ENEMY_BUBBLE;Soul of Bubbles (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_CAPTAIN_KEETA;Soul of Captain Keeta;soul_of_foe;false;;;;
MM_SOUL_ENEMY_CHUCHU;Soul of Chuchus;soul_of_foe;false;;;;
MM_SOUL_ENEMY_DEEP_PYTHON;Soul of Deep Pythons;soul_of_foe;false;;;;
MM_SOUL_ENEMY_DEKU_BABA;Soul of Deku Babas (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_DEKU_SCRUB;Soul of Deku Scrubs (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_DEXIHAND;Soul of Dexihands;soul_of_foe;false;;;;
MM_SOUL_ENEMY_DODONGO;Soul of Dodongos (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_DRAGONFLY;Soul of Dragonflies;soul_of_foe;false;;;;
MM_SOUL_ENEMY_EENO;Soul of Eenoes;soul_of_foe;false;;;;
MM_SOUL_ENEMY_EYEGORE;Soul of Eyegores;soul_of_foe;false;;;;
MM_SOUL_ENEMY_FLOORMASTER;Soul of Floormasters (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_FLYING_POT;Soul of Flying Pots (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_FREEZARD;Soul of Freezards (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_GARO;Soul of Garo;soul_of_foe;false;;;;
MM_SOUL_ENEMY_GEKKO;Soul of Gekkos;soul_of_foe;false;;;;
MM_SOUL_ENEMY_GOMESS;Soul of Gomess;soul_of_foe;false;;;;
MM_SOUL_ENEMY_GUAY;Soul of Guays (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_HIPLOOP;Soul of Hiploops;soul_of_foe;false;;;;
MM_SOUL_ENEMY_IRON_KNUCKLE;Soul of Iron Knuckles (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_KEESE;Soul of Keese (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_LEEVER;Soul of Leevers (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_LIKE_LIKE;Soul of Like Likes (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_LIZALFOS_DINOLFOS;Soul of Lizalfos/Dinolfos (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_NEJIRON;Soul of Nejirons;soul_of_foe;false;;;;
MM_SOUL_ENEMY_OCTOROK;Soul of Octoroks (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_PEAHAT;Soul of Peahats (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_POE;Soul of Poes (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_REAL_BOMBCHU;Soul of Real Bombchu;soul_of_foe;false;;;;
MM_SOUL_ENEMY_REDEAD_GIBDO;Soul of ReDeads/Gibdos (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_SHELL_BLADE;Soul of Shell Blades (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_SKULLFISH;Soul of Skullfish (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_SKULLTULA;Soul of Skulltulas (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_SKULLWALLTULA;Soul of Skullwalltulas (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_SNAPPER;Soul of Snappers;soul_of_foe;false;;;;
MM_SOUL_ENEMY_STALCHILD;Soul of Stalchildren (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_TAKKURI;Soul of Takkuri;soul_of_foe;false;;;;
MM_SOUL_ENEMY_TEKTITE;Soul of Tektites (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_THIEVES;Soul of the Fighting Pirates;soul_of_foe;true;;;;
MM_SOUL_ENEMY_WALLMASTER;Soul of Wallmasters (MM);soul_of_foe;true;;;;
MM_SOUL_ENEMY_WART;Soul of Warts;soul_of_foe;false;;;;
MM_SOUL_ENEMY_WIZZROBE;Soul of Wizzrobes;soul_of_foe;false;;;;
MM_SOUL_ENEMY_WOLFOS;Soul of Wolfos (MM);soul_of_foe;true;;;;
MM_SOUL_MISC_BUSINESS_SCRUB;Soul of Business Scrubs (MM);soul_of_npc;true;;;;
MM_SOUL_MISC_GS;Soul of Gold Skulltulas (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_ANJU;Soul of Anju (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_AROMA;Soul of Madame Aroma (MM);soul_of_npc;false;;;;
MM_SOUL_NPC_ASTRONOMER;Soul of Astronomer (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_BANKER;Soul of the Banker;soul_of_npc;true;;;;
MM_SOUL_NPC_BAZAAR_SHOPKEEPER;Soul of Swamp Archery Owner;soul_of_npc;true;;;;
MM_SOUL_NPC_BEAN_SALESMAN;Soul of the Beans Salesman (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_BIGGORON;Soul of Biggoron (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_BLACKSMITHS;Soul of Blacksmiths;soul_of_npc;false;;;;
MM_SOUL_NPC_BOMBCHU_BOWLING_LADY;Soul of Chest Game Lady;soul_of_npc;true;;;;
MM_SOUL_NPC_BOMBCHU_SHOPKEEPER;Soul of the Bomb Shop Owner;soul_of_npc;true;;;;
MM_SOUL_NPC_BOMBERS;Soul of Bombers;soul_of_npc;true;;;;
MM_SOUL_NPC_BUTLER_DEKU;Soul of the Deku Butler;soul_of_npc;false;;;;
MM_SOUL_NPC_CARPENTERS;Soul of Carpenters (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_CARPET_MAN;Soul of Swordsman;soul_of_npc;true;;;;
MM_SOUL_NPC_CHEST_GAME_OWNER;Soul of the Fisherman;soul_of_npc;true;;;;
MM_SOUL_NPC_CITIZEN;Soul of Citizens (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_COMPOSER_BROS;Soul of Composer Bros. (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_DAMPE;Soul of Dampe (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_DEKU_KING;Soul of the Deku King;soul_of_npc;false;;;;
MM_SOUL_NPC_DEKU_PRINCESS;Soul of the Deku Princess;soul_of_npc;false;;;;
MM_SOUL_NPC_DOG_LADY;Soul of Dog Lady (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_FISHING_POND_OWNER;Soul of Trading Post Owner;soul_of_npc;true;;;;
MM_SOUL_NPC_GORMAN;Soul of Gorman & Bros.;soul_of_npc;true;;;;
MM_SOUL_NPC_GORON;Soul of Gorons (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_GORON_CHILD;Soul of the Goron Baby (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_GORON_ELDER;Soul of the Goron Elder;soul_of_npc;false;;;;
MM_SOUL_NPC_GORON_SHOPKEEPER;Soul of the Goron Shopkeeper (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_GROG;Soul of Grog;soul_of_npc;true;;;;
MM_SOUL_NPC_GURU_GURU;Soul of Guru-Guru (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_HONEY_DARLING;Soul of Honey & Darling (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_KAFEI;Soul of Kafei;soul_of_npc;false;;;;
MM_SOUL_NPC_KEATON;Soul of Keaton;soul_of_npc;false;;;;
MM_SOUL_NPC_KOUME_KOTAKE;Soul of Koume and Kotake;soul_of_npc;false;;;;
MM_SOUL_NPC_MALON;Soul of Romani/Cremia;soul_of_npc;true;;;;
MM_SOUL_NPC_MAYOR_DOTOUR;Soul of Mayor Dotour;soul_of_npc;false;;;;
MM_SOUL_NPC_MEDIGORON;Soul of Keg Trial Goron;soul_of_npc;true;;;;
MM_SOUL_NPC_MOON_CHILDREN;Soul of Moon Children;soul_of_npc;false;;;;
MM_SOUL_NPC_OLD_HAG;Soul of Anju's Grandmother;soul_of_npc;true;;;;
MM_SOUL_NPC_PLAYGROUND_SCRUBS;Soul of Playground Scrubs;soul_of_npc;false;;;;
MM_SOUL_NPC_POE_COLLECTOR;Soul of Ghost Hut Owner;soul_of_npc;true;;;;
MM_SOUL_NPC_ROOFTOP_MAN;Soul of Part-Timer;soul_of_npc;true;;;;
MM_SOUL_NPC_RUTO;Soul of Lulu;soul_of_npc;true;;;;
MM_SOUL_NPC_SCIENTIST;Soul of the Scientist (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_SHOOTING_GALLERY_OWNER;Soul of Town Archery Owner;soul_of_npc;true;;;;
MM_SOUL_NPC_TALON;Soul of Mr. Barten (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_THIEVES;Soul of the Patrolling Pirates and their Chief;soul_of_npc;true;;;;
MM_SOUL_NPC_TINGLE;Soul of Tingle;soul_of_npc;false;;;;
MM_SOUL_NPC_TOILET_HAND;Soul of Toilet Hand;soul_of_npc;false;;;;
MM_SOUL_NPC_TOTO;Soul of Toto(MM);soul_of_npc;false;;;;
MM_SOUL_NPC_TOURIST_CENTER;Soul of Tourist Center Owner;soul_of_npc;false;;;;
MM_SOUL_NPC_ZORA;Soul of Zoras (MM);soul_of_npc;true;;;;
MM_SOUL_NPC_ZORA_MUSICIANS;Soul of the Zora Musicians;soul_of_npc;false;;;;
MM_SOUL_NPC_ZORA_SHOPKEEPER;Soul of the Zora Shopkeeper (MM);soul_of_npc;true;;;;
MM_SPELL_FIRE;Din's Fire (MM);din;true;;;;
MM_SPELL_LOVE;Nayru's Love (MM);nayru;true;;;;
MM_SPELL_WIND;Farore's Wind (MM);farore;true;;;;
MM_SPIN_UPGRADE;Spin Attack Upgrade (MM);spin;true;;;;
MM_STICK;Deku Stick (MM);stick;true;;;;
MM_STICK_UPGRADE;Deku Stick Upgrade (MM);stick_upgrade_1;true;;;;
MM_STICK_UPGRADE2;Second Deku Stick Upgrade (MM);stick_upgrade_2;true;;;;
MM_STONE_OF_AGONY;Stone of Agony (MM);agony;true;;;;
MM_STRAY_FAIRY;Stray Fairy (MM);sf;false;;;;
MM_STRAY_FAIRY_GB;Stray Fairy (Great Bay Temple);sf_blue;false;;;;
MM_STRAY_FAIRY_SH;Stray Fairy (Snowhead Temple);sf_green;false;;;;
MM_STRAY_FAIRY_ST;Stray Fairy (Stone Tower Temple);sf_yellow;false;;;;
MM_STRAY_FAIRY_TOWN;Stray Fairy (Clock Town);sf_orange;false;;;;
MM_STRAY_FAIRY_WF;Stray Fairy (Woodfall Temple);sf;false;;;;
MM_STRENGTH;Progressive Strength (MM);bracelet;true;;;;
MM_SWORD;Progressive Sword (MM);kokiri_mm;true;;;;
MM_SWORD_GILDED;Gilded Sword (MM);gilded;true;;;;
MM_SWORD_KOKIRI;Kokiri Sword (MM);kokiri_mm;true;;;;
MM_SWORD_RAZOR;Razor Sword (MM);razor;true;;;;
MM_TRANSCENDENT_FAIRY;Transcendent Fairy;sf_transcendent;false;;;;
MM_TUNIC_GORON;Goron Tunic (MM);goron_tunic;true;;;;
MM_TUNIC_ZORA;Zora Tunic (MM);zora_tunic;true;;;;
MM_UNK_21;40 Arrows (MM);arrow;true;;;;
MM_UNK_2B;30 Deku Nuts (MM);nut;true;;;;
MM_UNK_2C;30 Deku Nuts (MM);nut;true;;;;
