Region_Name;Code_Name;From_ID;To_ID;From_Scene;To_Scene;From_Name;To_Name;Type;In_X;In_Y;In_Z;Out_X;Out_Y;Out_Z;Arrow_Rot;Active_Layout
Death_Mountain_Crater;OOT_GROTTO_EXIT_GENERIC_DMC;OOT_GROTTO_GENERIC_DMC_ENTR;0x1104;OOT_GROTTO_DEATH_CRATER_GENERIC;OOT_DEATH_MOUNTAIN_CRATER;Boulder Grotto;Death Mountain Crater;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Crater;OOT_GROTTO_EXIT_SCRUBS3_DMC;OOT_GROTTO_SCRUBS3_DMC_ENTR;0x1114;OOT_GROTTO_DEATH_CRATER_SCRUBS;OOT_DEATH_MOUNTAIN_CRATER;Red Boulder Grotto;Death Mountain Crater;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Crater;OOT_DEATH_MOUNTAIN_CRATER_ENTR;OOT_TRAIL_SUMMIT_FROM_CRATER_ENTR;0x147;OOT_DEATH_MOUNTAIN_TRAIL;OOT_DEATH_MOUNTAIN_CRATER;Death Mountain Trail;Death Mountain Crater;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Crater;OOT_CRATER_FROM_GORON_CITY_ENTR;OOT_GORON_CITY_FROM_CRATER_ENTR;0x246;OOT_GORON_CITY;OOT_DEATH_MOUNTAIN_CRATER;Goron City;Death Mountain Crater;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Crater;OOT_DEATH_CRATER_FROM_TEMPLE_FIRE_ENTR;OOT_TEMPLE_FIRE_ENTR;0x24a;OOT_TEMPLE_FIRE;OOT_DEATH_MOUNTAIN_CRATER;Fire Temple;Death Mountain Crater;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Crater;OOT_DEATH_CRATER_FROM_FAIRY_ENTR;OOT_FAIRY_MAGIC2_ENTR;0x482;OOT_GREAT_FAIRY_MAGIC2;OOT_DEATH_MOUNTAIN_CRATER;Large Magic Upgrade Fountain;Death Mountain Crater;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Crater;OOT_WARP_SONG_CRATER_ENTR;OOT_BOLERO_OF_FIRE_SONG;0x4f6;OOT_SONGS;OOT_DEATH_MOUNTAIN_CRATER;Bolero of Fire;Death Mountain Crater - Warp Song;One_Way_In;0;0;0;-1;-1;-1;0;all
Death_Mountain_Trail;OOT_GROTTO_EXIT_GENERIC_DMT;OOT_GROTTO_GENERIC_DMT_ENTR;0x1103;OOT_GROTTO_DEATH_TRIAL_STORMS;OOT_DEATH_MOUNTAIN_TRAIL;Storms Grotto;Death Mountain Trail;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Trail;OOT_GROTTO_EXIT_TRAIL_COW;OOT_GROTTO_TRAIL_COW_ENTR;0x111d;OOT_GROTTO_DEATH_TRIAL_COW;OOT_DEATH_MOUNTAIN_TRAIL;Cow Grotto;Death Mountain Trail;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Trail;OOT_DEATH_MOUNTAIN_FROM_KAKARIKO_ENTR;OOT_KAKARIKO_FROM_DEATH_MOUNTAIN_ENTR;0x13d;OOT_KAKARIKO_VILLAGE;OOT_DEATH_MOUNTAIN_TRAIL;Kakariko;Death Mountain Trail;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Trail;OOT_DEATH_MOUNTAIN_FROM_GORON_CITY_ENTR;OOT_GORON_CITY_ENTR;0x1b9;OOT_GORON_CITY;OOT_DEATH_MOUNTAIN_TRAIL;Goron City;Death Mountain Trail;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Trail;OOT_TRAIL_SUMMIT_FROM_CRATER_ENTR;OOT_DEATH_MOUNTAIN_CRATER_ENTR;0x1bd;OOT_DEATH_MOUNTAIN_CRATER;OOT_DEATH_MOUNTAIN_TRAIL;Death Mountain Crater;Death Mountain Trail;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Trail;OOT_MOUNTAIN_TRAIL_FROM_DODONGO_CAVERN_ENTR;OOT_DODONGO_CAVERN_ENTR;0x242;OOT_DODONGO_CAVERN;OOT_DEATH_MOUNTAIN_TRAIL;Dodongo Cavern;Death Mountain Trail;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Trail;OOT_DEATH_MOUNTAIN_FROM_FAIRY_ENTR;OOT_FAIRY_MAGIC_ENTR;0x45b;OOT_GREAT_FAIRY_MAGIC;OOT_DEATH_MOUNTAIN_TRAIL;Magic Upgrade Fountain;Death Mountain Trail;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Trail;OOT_DMT_OWL_ENTR;OOT_VILLAGE_OWL_ENTR;0x5540;OOT_KAKARIKO_VILLAGE;OOT_DEATH_MOUNTAIN_TRAIL;Owl Pick;Death Mountain Trail -> Owl Pick;One_Way_Out;-1;-1;-1;0;0;0;0;all
Kokiri_Forest;OOT_DEKU_TREE_ENTR;OOT_KOKIRI_FOREST_FROM_DEKU_TREE_ENTR;0x000;OOT_KOKIRI_FOREST;OOT_DEKU_TREE;Kokiri Forest;Deku Tree;Normal;0;0;0;0;0;0;0;all
Kokiri_Forest;OOT_DEKU_TREE_TO_BOSS_ENTR;OOT_BOSS_DEKU_TREE_ENTR;0x40f0;OOT_LAIR_GOHMA;OOT_DEKU_TREE;Gohma's Lair;Deku Tree -> Gohma's Lair;One_Way_Out;-1;-1;-1;0;0;0;0;all
Desert_Colossus;OOT_GROTTO_EXIT_SCRUBS2_COLOSSUS;OOT_GROTTO_SCRUBS2_COLOSSUS_ENTR;0x1111;OOT_GROTTO_DESERT_SCRUBS;OOT_DESERT_COLOSSUS;Silver Boulder Grotto;Desert Colossus;Normal;0;0;0;0;0;0;0;all
Desert_Colossus;OOT_COLOSSUS_ENTR;OOT_WASTELAND_FROM_COLOSSUS_ENTR;0x123;OOT_HAUNTED_WASTELAND;OOT_DESERT_COLOSSUS;Haunted Wasteland;Desert Colossus;Normal;0;0;0;0;0;0;0;all
Desert_Colossus;OOT_DESERT_COLOSSUS_FROM_TEMPLE_SPIRIT_ENTR;OOT_TEMPLE_SPIRIT_ENTR;0x1e1;OOT_TEMPLE_SPIRIT;OOT_DESERT_COLOSSUS;Spirit Temple;Desert Colossus;Normal;0;0;0;0;0;0;0;all
Desert_Colossus;OOT_WARP_SONG_DESERT_ENTR;OOT_REQUIEM_OF_SPIRIT_SONG;0x1f1;OOT_SONGS;OOT_DESERT_COLOSSUS;Requiem of Spirit;Desert Colossus - Warp Song;One_Way_In;0;0;0;-1;-1;-1;0;all
Desert_Colossus;OOT_DESERT_COLOSSUS_FROM_FAIRY_ENTR;OOT_FAIRY_NAYRU_ENTR;0x57c;OOT_GREAT_FAIRY_NAYRU;OOT_DESERT_COLOSSUS;Nayru's Love Fountain;Desert Colossus;Normal;0;0;0;0;0;0;0;all
Desert_Colossus;OOT_DESERT_FROM_MIROR_ENTR;OOT_SPIRIT_TEMPLE_DESERT_MIROR_ENTR;0x1e9;OOT_TEMPLE_SPIRIT;OOT_DESERT_COLOSSUS;Miror Shield;Desert Colossus;Normal;0;0;0;0;0;0;0;all
Desert_Colossus;OOT_DESERT_FROM_GAUNTLET_ENTR;OOT_SPIRIT_TEMPLE_DESERT_GAUNTLET_ENTR;0x1e5;OOT_TEMPLE_SPIRIT;OOT_DESERT_COLOSSUS;Silver Gauntlet;Desert Colossus;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Trail;OOT_DODONGO_CAVERN_ENTR;OOT_MOUNTAIN_TRAIL_FROM_DODONGO_CAVERN_ENTR;0x004;OOT_DEATH_MOUNTAIN_TRAIL;OOT_DODONGO_CAVERN;Death Mountain Trail;Dodongo Cavern;Normal;0;0;0;0;0;0;0;all
Death_Mountain_Trail;OOT_DODONGO_CAVERN_TO_BOSS_ENTR;OOT_BOSS_DODONGO_CAVERN_ENTR;0x40b0;OOT_LAIR_KING_DODONGO;OOT_DODONGO_CAVERN;King Dodongo's Lair;Dodongo Carvern -> King Dodongo's Lair;One_Way_Out;-1;-1;-1;0;0;0;0;all
Gerudo_Fortress;OOT_GROTTO_FAIRY_FORTRESS_ENTR;OOT_GROTTO_EXIT_FAIRY_FORTRESS;0x100d;OOT_GERUDO_FORTRESS;OOT_FAIRY_GERUDO_FORTRESS;Gerudo's Fortress;Fairy Fountain Grotto;Normal;0;0;0;0;0;0;0;all
Hyrule;OOT_GROTTO_FAIRY_HF_ENTR;OOT_GROTTO_EXIT_FAIRY_HF;0x100a;OOT_HYRULE_FIELD;OOT_FAIRY_HYRULE;Hyrule Field;Fairy Fountain Grotto;Normal;0;0;0;0;0;0;0;all
Sacred_Forest_Meadow;OOT_GROTTO_FAIRY_SFM_ENTR;OOT_GROTTO_EXIT_FAIRY_SFM;0x1009;OOT_SACRED_FOREST_MEADOW;OOT_FAIRY_SACRED_MEADOW;Sacred Forest Meadow;Fairy Fountain Grotto;Normal;0;0;0;0;0;0;0;all
Zora_Domain;OOT_GROTTO_FAIRY_DOMAIN_ENTR;OOT_GROTTO_EXIT_FAIRY_DOMAIN;0x100c;OOT_ZORA_DOMAIN;OOT_FAIRY_ZORA_DOMAIN;Zora Domain;Fairy Fountain Grotto;Normal;0;0;0;0;0;0;0;all
Zora_River;OOT_GROTTO_FAIRY_RIVER_ENTR;OOT_GROTTO_EXIT_FAIRY_RIVER;0x100b;OOT_ZORA_RIVER;OOT_FAIRY_ZORA_RIVER;Zora River;Fairy Fountain Grotto;Normal;0;0;0;0;0;0;0;all
Lake_Hylia;OOT_FISHING_POND_ENTR;OOT_LAKE_HYLIA_FROM_FISHING_POND_ENTR;0x45f;OOT_LAKE_HYLIA;OOT_FISHING_POND;Lake Hylia;Fishing Pond;Normal;0;0;0;0;0;0;0;all
Castle;OOT_SAGES_CHAMBER_END_ENTR;OOT_SAGES_CHANBER_END_FROM_GANON2_ENTR;0x06b00;OOT_CHAMBER_OF_THE_SAGES;OOT_GANON_BATTLE_ARENA;Ganon Beaten;Ganon Battle Arena -> Ganon Beaten;One_Way_Out;-1;-1;-1;0;0;0;0;all
Castle;OOT_BOSS_GANON2_FROM_GANONDORF_ENTR;OOT_BOSS_GANONDORF_ENTR;0x517;OOT_LAIR_GANONDORF;OOT_GANON_BATTLE_ARENA;Ganondorf Beaten;Ganon Battle Arena - Ganondorf Beaten;One_Way_In;0;0;0;-1;-1;-1;0;all
Castle;OOT_GANON_CASTLE_EXTERIOR_FROM_CASTLE_ENTR;OOT_GANON_CASTLE_ENTR;0x23d;OOT_INSIDE_GANON_CASTLE;OOT_GANON_CASTLE_EXTERIOR;Ganon Castle;Ganon Castle Exterior;Normal;0;0;0;0;0;0;0;all
Castle;OOT_OUTSIDE_GANON_FROM_FAIRY_ENTR;OOT_FAIRY_DEFENSE_ENTR;0xf00;OOT_GREAT_FAIRY_DEFENSE;OOT_GANON_CASTLE_EXTERIOR;Defense Upgrade Fountain;Ganon Castle Exterior;Normal;0;0;0;0;0;0;0;all
Castle;OOT_GANON_CASTLE_EXTERIOR_ENTR;OOT_MARKET_ADULT_FROM_GANON_CASTLE_EXTERIOR_ENTR;0x1381;OOT_MARKET;OOT_GANON_CASTLE_EXTERIOR;Market;Ganon Castle Exterior;Normal;0;0;0;0;0;0;0;all
Castle;OOT_GANON_TOWER_ENTR;OOT_GANON_CASTLE_FROM_TOWER_ENTR;0x41b;OOT_INSIDE_GANON_CASTLE;OOT_GANON_TOWER;Inside Ganon Castle;Ganon Tower;Normal;0;0;0;0;0;0;0;all
Castle;OOT_GANONDORF_CUTSCENE_ENTR;OOT_GANONDORF_CUTSCENE_FROM_GANON_TOWER_ENTR;0x41f00;OOT_LAIR_GANONDORF;OOT_GANON_TOWER;Ganondorf's Lair;Ganon Tower -> Ganondorf's Lair;One_Way_Out;-1;-1;-1;0;0;0;0;all
Gerudo_Fortress;OOT_GROTTO_EXIT_FAIRY_FORTRESS;OOT_GROTTO_FAIRY_FORTRESS_ENTR;0x110d;OOT_FAIRY_GERUDO_FORTRESS;OOT_GERUDO_FORTRESS;Fairy Fountain Grotto;Gerudo's Fortress;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_GERUDO_FORTRESS_FROM_VALLEY_ENTR;OOT_VALLEY_FROM_GERUDO_FORTRESS_ENTR;0x129;OOT_GERUDO_VALLEY;OOT_GERUDO_FORTRESS;Gerudo Valley;Gerudo's Fortress;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_LEFT_JAIL_1;OOT_HIDEOUT_LEFT_JAIL_1_FROM_FORTRESS;0x231;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Jail 1 Left;Gerudo's Fortress Jail 1 Left;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_RIGHT_JAIL_1;OOT_HIDEOUT_RIGHT_JAIL_1_FROM_FORTRESS;0x235;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Jail 1 Right;Gerudo's Fortress Jail 1 Right;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_KITCHEN_BOTTOM;OOT_HIDEOUT_KITCHEN_BOTTOM_FROM_FORTRESS;0x239;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Kitchen Bottom;Gerudo's Fortress Kitchen Bottom;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_KITCHEN_BOTTOM_TO_TOP;OOT_HIDEOUT_KITCHEN_BOTTOM_TO_TOP_FROM_FORTRESS;0x2aa;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Kitchen Bottom to Top;Gerudo's Fortress Kitchen Bottom to Top;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_JAIL_3_BOTTOM;OOT_HIDEOUT_JAIL_3_BOTTOM_FROM_FORTRESS;0x2ba;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Jail 3 Bottom;Gerudo's Fortress Jail 3 Bottom;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_JAIL_3_TOP;OOT_HIDEOUT_JAIL_3_TOP_FROM_FORTRESS;0x2be;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Jail 3 Top;Gerudo's Fortress Jail 3 Top;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_JAIL_2_BOTTOM;OOT_HIDEOUT_JAIL_2_BOTTOM_FROM_FORTRESS;0x2c2;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Jail 2 Bottom;Gerudo's Fortress Jail 2 Bottom;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_JAIL_2_TOP;OOT_HIDEOUT_JAIL_2_TOP_FROM_FORTRESS;0x2c6;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Jail 2 Top;Gerudo's Fortress Jail 2 Top;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_KITCHEN_TOP_RIGHT;OOT_HIDEOUT_KITCHEN_TOP_RIGHT_FROM_FORTRESS;0x2d2;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Kitchen Top Right;Gerudo's Fortress Kitchen Top Right;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_KITCHEN_TOP_LEFT;OOT_HIDEOUT_KITCHEN_TOP_LEFT_FROM_FORTRESS;0x2d6;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Kitchen Top Left;Gerudo's Fortress Kitchen Top Left;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_BREAKOUT;OOT_HIDEOUT_BREAKOUT_FROM_FORTRESS;0x2da;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Breakout Bottom;Gerudo's Fortress Breakout Bottom;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_BREAKOUT_JAIL;OOT_HIDEOUT_BREAKOUT_FROM_FORTRESS_JAIL;0x2de;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Breakout Top;Gerudo's Fortress Breakout Top;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_HIDEOUT_JAIL_4;OOT_HIDEOUT_JAIL_4_FROM_FORTRESS;0x3a4;OOT_THIEVES_HIDEOUT;OOT_GERUDO_FORTRESS;Thieves' Hideout Jail 4;Gerudo's Fortress Jail 4;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_GERUDO_FORTRESS_FROM_GERUDO_TRAINING_ENTR;OOT_GERUDO_TRAINING_GROUNDS_ENTR;0x3a8;OOT_GERUDO_TRAINING_GROUND;OOT_GERUDO_FORTRESS;Gerudo Training Ground;Gerudo's Fortress;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_FORTRESS_FROM_WASTELAND_ENTR;OOT_WASTELAND_ENTR;0x3ac;OOT_HAUNTED_WASTELAND;OOT_GERUDO_FORTRESS;Haunted Wasteland;Gerudo's Fortress;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_GERUDO_FORTRESS_CAUGHT_ENTR;OOT_GERUDO_FORTRESS_JAIL_ENTR;0x5f8;OOT_GERUDO_FORTRESS;OOT_GERUDO_FORTRESS;Jail;Gerudo's Fortress - Jail;One_Way_In;0;0;0;-1;-1;-1;0;all
Gerudo_Fortress;OOT_GERUDO_FORTRESS_JAIL_ENTR;OOT_GERUDO_FORTRESS_CAUGHT_ENTR;0x5f80;OOT_GERUDO_FORTRESS;OOT_GERUDO_FORTRESS;Caught;Gerudo's Fortress -> Caught;One_Way_Out;-1;-1;-1;0;0;0;0;all
Gerudo_Fortress;OOT_GERUDO_TRAINING_GROUNDS_ENTR;OOT_GERUDO_FORTRESS_FROM_GERUDO_TRAINING_ENTR;0x008;OOT_GERUDO_FORTRESS;OOT_GERUDO_TRAINING_GROUND;Gerudo's Fortress;Gerudo Training Ground;Normal;0;0;0;0;0;0;0;all
Gerudo_Fortress;OOT_WALLMASTER_GTG_ENTR;OOT_WALLMASTER_GTG_ENTR;0xf1a;OOT_GERUDO_TRAINING_GROUND;OOT_GERUDO_TRAINING_GROUND;Wallmaster;Gerudo Training Ground;One_Way_Out;-1;-1;-1;0;0;0;0;all
Gerudo_Valley;OOT_GROTTO_EXIT_SCRUBS2_VALLEY;OOT_GROTTO_SCRUBS2_VALLEY_ENTR;0x1110;OOT_GROTTO_VALLEY_STORMS;OOT_GERUDO_VALLEY;Storms Grotto;Gerudo Valley;Normal;0;0;0;0;0;0;0;all
Gerudo_Valley;OOT_GROTTO_EXIT_OCTOROK;OOT_GROTTO_OCTOROK_ENTR;0x1120;OOT_GROTTO_VALLEY_OCTOROK;OOT_GERUDO_VALLEY;Octorok Grotto;Gerudo Valley;Normal;0;0;0;0;0;0;0;all
Gerudo_Valley;OOT_GERUDO_VALLEY_FROM_FIELD_ENTR;OOT_FIELD_FROM_GERUDO_VALLEY_ENTR;0x117;OOT_HYRULE_FIELD;OOT_GERUDO_VALLEY;Hyrule Field;Gerudo Valley;Normal;0;0;0;0;0;0;0;all
Gerudo_Valley;OOT_GERUDO_FORTRESS_CAUGHT_NO_HOOK_ENTR;OOT_GERUDO_VALLEY_CAUGHT_ENTR;0x1a5;OOT_GERUDO_VALLEY;OOT_GERUDO_VALLEY;Trapdoor;Gerudo's Valley - Trapdoor;One_Way_In;0;0;0;-1;-1;-1;0;all
Gerudo_Valley;OOT_GERUDO_VALLEY_CAUGHT_ENTR;OOT_GERUDO_FORTRESS_CAUGHT_NO_HOOK_ENTR;0x1a50;OOT_GERUDO_VALLEY;OOT_GERUDO_VALLEY;Caught;Gerudo's Valley -> Caught;One_Way_Out;-1;-1;-1;0;0;0;0;all
Gerudo_Valley;OOT_VALLEY_WATERFALLS_ENTR;OOT_LAKE_HYLIA_FROM_VALLEY_ENTR;0x2190;OOT_LAKE_HYLIA;OOT_GERUDO_VALLEY;Waterfalls;Gerudo Valley -> Waterfalls;One_Way_Out;-1;-1;-1;0;0;0;0;all
Gerudo_Valley;OOT_VALLEY_FROM_GERUDO_FORTRESS_ENTR;OOT_GERUDO_FORTRESS_FROM_VALLEY_ENTR;0x22d;OOT_GERUDO_FORTRESS;OOT_GERUDO_VALLEY;Gerudo's Fortress;Gerudo Valley;Normal;0;0;0;0;0;0;0;all
Gerudo_Valley;OOT_GERUDO_VALLEY_FROM_TENT_ENTR;OOT_VALLEY_TENT_ENTR;0x3d0;OOT_CARPENTER_TENT;OOT_GERUDO_VALLEY;Carpenter's Tent;Gerudo Valley;Normal;0;0;0;0;0;0;0;all
