Code_Name;Game;ID;Type;Scene;;;;;;;;;;;
OOT_GRAVEYARD_FROM_TEMPLE_SHADOW; oot; 0x205; dungeon-exit;OOT_TEMPLE_SHADOW; areas;OOT Shadow Temple; OOT Graveyard Upper; reverse; OOT_TEMPLE_SHADOW;;;;;;
OOT_DESERT_COLOSSUS_FROM_TEMPLE_SPIRIT; oot; 0x1e1; dungeon-exit;OOT_TEMPLE_SPIRIT; areas;OOT Spirit Temple; OOT Desert Colossus Spirit Exit; reverse; OOT_TEMPLE_SPIRIT;;;;;;
OOT_KAKARIKO_FROM_BOTTOM_OF_THE_WELL; oot; 0x2a6; dungeon-exit;OOT_BOTTOM_OF_THE_WELL; areas;OOT Bottom of the Well; OOT Kakariko Well; reverse; OOT_BOTTOM_OF_THE_WELL;;;;;;
OOT_ZORA_FOUNTAIN_FROM_ICE_CAVERN; oot; 0x3d4; dungeon-exit;OOT_ICE_CAVERN; areas;OOT Ice Cavern; OOT Zora Fountain Frozen; reverse; OOT_ICE_CAVERN;;;;;;
OOT_GERUDO_FORTRESS_FROM_GERUDO_TRAINING; oot; 0x3a8; dungeon-exit;OOT_GERUDO_TRAINING_GROUNDS; areas;OOT Gerudo Training Grounds; OOT Gerudo Fortress Exterior; reverse; OOT_GERUDO_TRAINING_GROUNDS;;;;;;
OOT_GANON_CASTLE_EXTERIOR_FROM_CASTLE; oot; 0x23d; dungeon-exit;OOT_GANON_CASTLE; areas;OOT Ganon Castle; OOT Ganon Castle Exterior After Bridge; reverse; OOT_GANON_CASTLE;;;;;;
OOT_GANON_CASTLE_FROM_TOWER; oot; 0x534; dungeon-exit;OOT_GANON_TOWER; areas;OOT Ganon Castle Tower; OOT Ganon Castle Stairs; reverse; OOT_GANON_TOWER;;;;;;
OOT_LOST_WOODS_BRIDGE_FROM_FIELD; oot; 0x4de; region;OOT_HYRULE_FIELD; areas;OOT Hyrule Field; OOT Lost Woods Bridge; reverse; OOT_FIELD_FROM_LOST_WOODS_BRIDGE;;;;;;
OOT_ZORA_RIVER_FROM_FIELD; oot; 0x0ea; region;OOT_HYRULE_FIELD; areas;OOT Hyrule Field; OOT Zora River Front; reverse; OOT_FIELD_FROM_ZORA_RIVER; debug;REGION; Zora River;;;
OOT_KAKARIKO_FROM_FIELD; oot; 0x0db; region;OOT_HYRULE_FIELD; areas;OOT Hyrule Field; OOT Kakariko; reverse; OOT_FIELD_FROM_KAKARIKO; debug;REGION; Kakariko;;;
OOT_LON_LON_RANCH_FROM_FIELD; oot; 0x157; region;OOT_HYRULE_FIELD; areas;OOT Hyrule Field; OOT Lon Lon Ranch; reverse; OOT_FIELD_FROM_LON_LON_RANCH; debug;REGION; Lon Lon Ranch;;;
OOT_LAKE_HYLIA_FROM_FIELD; oot; 0x102; region;OOT_HYRULE_FIELD; areas;OOT Hyrule Field; OOT Lake Hylia; reverse; OOT_FIELD_FROM_LAKE_HYLIA; debug;REGION; Lake Hylia;;;
OOT_GERUDO_FORTRESS_FROM_VALLEY; oot; 0x129; region;OOT_GERUDO_VALLEY; areas;OOT Gerudo Valley After Bridge; OOT Gerudo Fortress Exterior; reverse; OOT_VALLEY_FROM_GERUDO_FORTRESS; debug;REGION; Gerudo Fortress;;;
OOT_DEATH_MOUNTAIN_FROM_KAKARIKO; oot; 0x13d; region;OOT_KAKARIKO; areas;OOT Kakariko Trail Start; OOT Death Mountain; reverse; OOT_KAKARIKO_FROM_DEATH_MOUNTAIN; debug;REGION; Death Mountain Trail;;;
OOT_GERUDO_VALLEY_FROM_FIELD; oot; 0x117; region;OOT_HYRULE_FIELD; areas;OOT Hyrule Field; OOT Gerudo Valley; reverse; OOT_FIELD_FROM_GERUDO_VALLEY;;;;;;
OOT_MARKET_ENTRANCE_FROM_FIELD; oot; 0x276; region-extra;OOT_HYRULE_FIELD; areas;OOT Hyrule Field; OOT Market Entryway; reverse; OOT_FIELD_FROM_MARKET_ENTRANCE;;;;;;
OOT_ZORA_RIVER_FROM_LOST_WOODS; oot; 0x1dd; region-shortcut;OOT_LOST_WOODS; areas;OOT Lost Woods Zora River Shortcut; OOT Zora River Shortcut Underwater; reverse; OOT_LOST_WOODS_FROM_ZORA_RIVER;;;;;;
OOT_GORON_CITY_FROM_LOST_WOODS; oot; 0x4e2; region-shortcut;OOT_LOST_WOODS; areas;OOT Lost Woods; OOT Goron City Shortcut; reverse; OOT_LOST_WOODS_FROM_GORON_CITY;;;;;;
OOT_LAKE_HYLIA_FROM_ZORA_DOMAIN; oot; 0x560; region-shortcut;OOT_ZORA_DOMAIN; areas;OOT Zora Domain Shortcut; OOT Lake Hylia Underwater; reverse; OOT_ZORA_DOMAIN_FROM_LAKE_HYLIA;;;;;;
OOT_FIELD_FROM_LOST_WOODS_BRIDGE; oot; 0x185; region-exit;OOT_LOST_WOODS; areas;OOT Lost Woods Bridge; OOT Hyrule Field; reverse; OOT_LOST_WOODS_BRIDGE_FROM_FIELD;;;;;;
OOT_FIELD_FROM_ZORA_RIVER; oot; 0x181; region-exit;OOT_ZORA_RIVER; areas;OOT Zora River Front; OOT Hyrule Field; reverse; OOT_ZORA_RIVER_FROM_FIELD;;;;;;
OOT_FIELD_FROM_KAKARIKO; oot; 0x17d; region-exit;OOT_KAKARIKO; areas;OOT Kakariko; OOT Hyrule Field; reverse; OOT_KAKARIKO_FROM_FIELD;;;;;;
OOT_FIELD_FROM_LON_LON_RANCH; oot; 0x1f9; region-exit;OOT_LON_LON_RANCH; areas;OOT Lon Lon Ranch; OOT Hyrule Field; reverse; OOT_LON_LON_RANCH_FROM_FIELD;;;;;;
OOT_FIELD_FROM_LAKE_HYLIA; oot; 0x189; region-exit;OOT_LAKE_HYLIA; areas;OOT Lake Hylia; OOT Hyrule Field; reverse; OOT_LAKE_HYLIA_FROM_FIELD;;;;;;
OOT_FIELD_FROM_GERUDO_VALLEY; oot; 0x18d; region-exit;OOT_GERUDO_VALLEY; areas;OOT Gerudo Valley; OOT Hyrule Field; reverse; OOT_GERUDO_VALLEY_FROM_FIELD;;;;;;
OOT_VALLEY_FROM_GERUDO_FORTRESS; oot; 0x22d; region-exit;OOT_GERUDO_FORTRESS; areas;OOT Gerudo Fortress Exterior; OOT Gerudo Valley After Bridge; reverse; OOT_GERUDO_FORTRESS_FROM_VALLEY;;;;;;
OOT_KAKARIKO_FROM_DEATH_MOUNTAIN; oot; 0x191; region-exit;OOT_DEATH_MOUNTAIN_TRAIL; areas;OOT Death Mountain; OOT Kakariko Trail Start; reverse; OOT_DEATH_MOUNTAIN_FROM_KAKARIKO;;;;;;
OOT_FIELD_FROM_MARKET_ENTRANCE; oot; 0x1fd; region-exit;OOT_MARKET_ENTRANCE; areas;OOT Market Entryway; OOT Hyrule Field; reverse; OOT_MARKET_ENTRANCE_FROM_FIELD;;;;;;
OOT_LOST_WOODS_FROM_ZORA_RIVER; oot; 0x4da; region-exit;OOT_ZORA_RIVER; areas;OOT Zora River Lost Woods Shortcut; OOT Lost Woods Shortcut Underwater; reverse; OOT_ZORA_RIVER_FROM_LOST_WOODS;;;;;;
OOT_LOST_WOODS_FROM_GORON_CITY; oot; 0x4d6; region-exit;OOT_GORON_CITY; areas;OOT Goron City Shortcut; OOT Lost Woods; reverse; OOT_GORON_CITY_FROM_LOST_WOODS;;;;;;
OOT_ZORA_DOMAIN_FROM_LAKE_HYLIA; oot; 0x328; region-exit;OOT_LAKE_HYLIA; areas;OOT Lake Hylia Near Shortcut; OOT Zora Domain Underwater; reverse; OOT_LAKE_HYLIA_FROM_ZORA_DOMAIN;;;;;;
OOT_SACRED_FOREST_MEADOW; oot; 0x0fc; overworld;OOT_LOST_WOODS; areas;OOT Lost Woods Deep; OOT Sacred Meadow Entryway; reverse; OOT_LOST_WOODS_FROM_MEADOW;;;;;;
OOT_LOST_WOODS_FROM_MEADOW; oot; 0x1a9; overworld;OOT_SACRED_MEADOW; areas;OOT Sacred Meadow Entryway; OOT Lost Woods Deep; reverse; OOT_SACRED_FOREST_MEADOW;;;;;;
OOT_GORON_CITY; oot; 0x14d; overworld;OOT_DEATH_MOUNTAIN_TRAIL; areas;OOT Death Mountain; OOT Goron City; reverse; OOT_DEATH_MOUNTAIN_FROM_GORON_CITY;;;;;;
OOT_DEATH_MOUNTAIN_FROM_GORON_CITY; oot; 0x1b9; overworld;OOT_GORON_CITY; areas;OOT Goron City; OOT Death Mountain; reverse; OOT_GORON_CITY;;;;;;
OOT_ZORA_DOMAIN; oot; 0x108; overworld;OOT_ZORA_RIVER; areas;OOT Zora River Behind Falls; OOT Zora Domain; reverse; OOT_RIVER_FROM_DOMAIN;;;;;;
OOT_RIVER_FROM_DOMAIN; oot; 0x19d; overworld;OOT_ZORA_DOMAIN; areas;OOT Zora Domain; OOT Zora River Behind Falls; reverse; OOT_ZORA_DOMAIN;;;;;;
OOT_FOUNTAIN_ZORA; oot; 0x225; overworld;OOT_ZORA_DOMAIN; areas;OOT Zora Domain Back; OOT Zora Fountain; reverse; OOT_DOMAIN_FROM_FOUNTAIN;;;;;;
OOT_DOMAIN_FROM_FOUNTAIN; oot; 0x1a1; overworld;OOT_ZORA_FOUNTAIN; areas;OOT Zora Fountain; OOT Zora Domain Back; reverse; OOT_FOUNTAIN_ZORA;;;;;;
OOT_CRATER_FROM_GORON_CITY; oot; 0x246; overworld;OOT_GORON_CITY; areas;OOT Darunia Chamber; OOT Death Mountain Crater Bottom; reverse; OOT_GORON_CITY_FROM_CRATER;;;;;;
OOT_GORON_CITY_FROM_CRATER; oot; 0x1c1; overworld;OOT_DEATH_MOUNTAIN_CRATER; areas;OOT Death Mountain Crater Bottom; OOT Darunia Chamber; reverse; OOT_CRATER_FROM_GORON_CITY;;;;;;
OOT_DEATH_MOUNTAIN_CRATER; oot; 0x147; overworld;OOT_DEATH_MOUNTAIN_TRAIL; areas;OOT Death Mountain Summit; OOT Death Mountain Crater Top; reverse; OOT_TRAIL_SUMMIT_FROM_CRATER;;;;;;
OOT_TRAIL_SUMMIT_FROM_CRATER; oot; 0x1bd; overworld;OOT_DEATH_MOUNTAIN_CRATER; areas;OOT Death Mountain Crater Top; OOT Death Mountain Summit; reverse; OOT_DEATH_MOUNTAIN_CRATER;;;;;;
OOT_LOST_WOODS_FROM_KOKIRI_FOREST; oot; 0x11e; overworld;OOT_KOKIRI_FOREST; areas;OOT Kokiri Forest; OOT Lost Woods; reverse; OOT_KOKIRI_FOREST_FROM_LOST_WOODS;;;;;;
OOT_KOKIRI_FOREST_FROM_LOST_WOODS; oot; 0x286; overworld;OOT_LOST_WOODS; areas;OOT Lost Woods Lost Forest; OOT Kokiri Forest; reverse; OOT_LOST_WOODS_FROM_KOKIRI_FOREST;;;;;;
OOT_FOREST_FROM_LOST_WOODS_BRIDGE; oot; 0x20d; overworld;OOT_LOST_WOODS; areas;OOT Lost Woods Bridge; OOT Kokiri Forest; reverse; OOT_LOST_WOODS_BRIDGE_FROM_FOREST;;;;;;
OOT_LOST_WOODS_BRIDGE_FROM_FOREST; oot; 0x5e0; overworld;OOT_KOKIRI_FOREST; areas;OOT Kokiri Forest; OOT Lost Woods Bridge from Forest; reverse; OOT_FOREST_FROM_LOST_WOODS_BRIDGE;;;;;;
OOT_GRAVEYARD; oot; 0x0e4; overworld;OOT_KAKARIKO; areas;OOT Kakariko; OOT Graveyard; reverse; OOT_KAKARIKO_FROM_GRAVEYARD; debug;REGION; Kakariko Graveyard;;;
OOT_KAKARIKO_FROM_GRAVEYARD; oot; 0x195; overworld;OOT_GRAVEYARD; areas;OOT Graveyard; OOT Kakariko; reverse; OOT_GRAVEYARD;;;;;;
OOT_WASTELAND; oot; 0x130; overworld;OOT_GERUDO_FORTRESS; areas;OOT Fortress Near Wasteland; OOT Haunted Wasteland Start; reverse; OOT_FORTRESS_FROM_WASTELAND; debug;REGION; Haunted Wasteland;;;
OOT_FORTRESS_FROM_WASTELAND; oot; 0x3ac; overworld;OOT_WASTELAND; areas;OOT Haunted Wasteland Start; OOT Fortress Near Wasteland; reverse; OOT_WASTELAND;;;;;;
OOT_COLOSSUS; oot; 0x123; overworld;OOT_WASTELAND; areas;OOT Haunted Wasteland End; OOT Desert Colossus; reverse; OOT_WASTELAND_FROM_COLOSSUS; debug;REGION; Desert Colossus;;;
OOT_WASTELAND_FROM_COLOSSUS; oot; 0x365; overworld;OOT_COLOSSUS; areas;OOT Desert Colossus; OOT Haunted Wasteland End; reverse; OOT_COLOSSUS;;;;;;
OOT_MARKET_FROM_MARKET_ENTRANCE; oot; 0x0b1; overworld;OOT_MARKET; submaps;ENTRANCE; MAIN; areas;OOT Market Entryway; OOT Market; reverse; OOT_MARKET_ENTRANCE_FROM_MARKET; debug;COMMON; Market
OOT_MARKET_ENTRANCE_FROM_MARKET; oot; 0x033; overworld;OOT_MARKET; submaps;MAIN; ENTRANCE; areas;OOT Market; OOT Market Entryway; reverse; OOT_MARKET_FROM_MARKET_ENTRANCE;;;
OOT_HYRULE_CASTLE; oot; 0x138; overworld;OOT_MARKET; areas;OOT Market; OOT Market Castle Entry; reverse; OOT_MARKET_FROM_CASTLE;;;;;;
OOT_MARKET_FROM_CASTLE; oot; 0x25a; overworld;OOT_HYRULE_CASTLE; areas;OOT Market Castle Entry; OOT Market; reverse; OOT_HYRULE_CASTLE;;;;;;
OOT_MARKET_FROM_TEMPLE_OF_TIME_ENTRYWAY; oot; 0x25e; overworld;OOT_MARKET; submaps;TEMPLE; MAIN; areas;OOT Temple of Time Entryway; OOT Market; reverse; OOT_TEMPLE_OF_TIME_ENTRYWAY_FROM_MARKET;;;
OOT_TEMPLE_OF_TIME_ENTRYWAY_FROM_MARKET; oot; 0x171; overworld;OOT_MARKET; submaps;MAIN; TEMPLE; areas;OOT Market; OOT Temple of Time Entryway; reverse; OOT_MARKET_FROM_TEMPLE_OF_TIME_ENTRYWAY;;;
OOT_LAKE_HYLIA_FROM_VALLEY; oot; 0x219; one-way;;;;;;OOT Gerudo Valley Falls;;;;;;
OOT_LOST_WOODS_FROM_LOST_WOODS_NORTH; oot; 0xf01; one-way-woods;;;;;;OOT Lost Woods Lost North;;;;;;
OOT_LOST_WOODS_FROM_LOST_WOODS_EAST; oot; 0x1ad; one-way-woods;;;;;;OOT Lost Woods Lost East;;;;;;
OOT_LOST_WOODS_FROM_LOST_WOODS_SOUTH; oot; 0x1b1; one-way-woods;;;;;;OOT Lost Woods Lost South;;;;;;
OOT_LOST_WOODS_FROM_LOST_WOODS_WEST; oot; 0x4c6; one-way-woods;;;;;;OOT Lost Woods Lost West;;;;;;
OOT_HOUSE_MIDO; oot; 0x433; indoors;;;;OOT Kokiri Forest; reverse; OOT_KOKIRI_FOREST_FROM_MIDO; debug;INTERIOR; Midos House};;;
OOT_HOUSE_SARIA; oot; 0x437; indoors;;;;OOT Kokiri Forest; reverse; OOT_KOKIRI_FOREST_FROM_SARIA;;;;;;
OOT_HOUSE_TWINS; oot; 0x09c; indoors;;;;OOT Kokiri Forest; reverse; OOT_KOKIRI_FOREST_FROM_TWINS;;;;;;
OOT_HOUSE_KNOW_IT_ALL; oot; 0x0c9; indoors;;;;OOT Kokiri Forest; reverse; OOT_KOKIRI_FOREST_FROM_KNOW_IT_ALL;;;;;;
OOT_KOKIRI_SHOP; oot; 0x0c1; indoors;;;;OOT Kokiri Forest; reverse; OOT_KOKIRI_FOREST_FROM_SHOP;;;;;;
OOT_HOUSE_POTS; oot; 0x07e; indoors;;;;OOT Market Entryway; reverse; OOT_MARKET_ENTRANCE_FROM_POTS;;;;;;
OOT_LABORATORY; oot; 0x043; indoors;;;;OOT Lake Hylia; reverse; OOT_LAKE_HYLIA_FROM_LABORATORY;;;;;;
OOT_FISHING_POND; oot; 0x45f; indoors;;;;OOT Lake Hylia Near Pond; reverse; OOT_LAKE_HYLIA_FROM_FISHING_POND;;;;;;
OOT_VALLEY_TENT; oot; 0x3a0; indoors;;;;OOT Gerudo Valley After Bridge; reverse; OOT_GERUDO_VALLEY_FROM_TENT;;;;;;
OOT_HOUSE_CARPENTER; oot; 0x2fd; indoors;;;;OOT Kakariko; reverse; OOT_KAKARIKO_FROM_CARPENTER;;;;;;
OOT_HOUSE_SKULLTULA; oot; 0x550; indoors;;;;OOT Kakariko; reverse; OOT_KAKARIKO_FROM_SKULLTULA;;;;;;
OOT_HOUSE_IMPA; oot; 0x39c; indoors;OOT_KAKARIKO; areas;OOT Kakariko; OOT Impa House Front; reverse; OOT_KAKARIKO_FROM_IMPA;;;;;;
OOT_HOUSE_IMPA_BACK; oot; 0x5c8; indoors;OOT_KAKARIKO; areas;OOT Kakariko Balcony; OOT Impa House Back; reverse; OOT_KAKARIKO_FROM_IMPA_BACK;;;;;;
OOT_SHOP_GRANNY; oot; 0x072; indoors;;;;OOT Kakariko Back; reverse; OOT_KAKARIKO_FROM_GRANNY;;;;;;
OOT_HOUSE_DAMPE; oot; 0x30d; indoors;;;;OOT Graveyard; reverse; OOT_GRAVEYARD_FROM_DAMPE;;;;;;
OOT_SHOP_GORON; oot; 0x37c; indoors;;;;OOT Goron City; reverse; OOT_GORON_CITY_FROM_SHOP;;;;;;
OOT_SHOP_ZORA; oot; 0x380; indoors;;;;OOT Zora Domain; reverse; OOT_ZORA_DOMAIN_FROM_SHOP;;;;;;
OOT_HOUSE_LON_LON; oot; 0x04f; indoors;;;;OOT Lon Lon Ranch; reverse; OOT_LON_LON_RANCH_FROM_HOUSE;;;;;;
OOT_SILO; oot; 0x5d0; indoors;;;;OOT Lon Lon Ranch; reverse; OOT_LON_LON_RANCH_FROM_SILO;;;;;;
OOT_STABLES; oot; 0x2f9; indoors;;;;OOT Lon Lon Ranch; reverse; OOT_LON_LON_RANCH_FROM_STABLES;;;;;;
OOT_FAIRY_MAGIC; oot; 0x315; indoors;;;;OOT Death Mountain Summit; reverse; OOT_DEATH_MOUNTAIN_FROM_FAIRY;;;;;;
OOT_FAIRY_MAGIC2; oot; 0x4be; indoors;;;;OOT Death Mountain Crater Bottom; reverse; OOT_DEATH_CRATER_FROM_FAIRY;;;;;;
OOT_FAIRY_DIN; oot; 0x578; indoors;;;;OOT Near Fairy Fountain Din; reverse; OOT_HYRULE_CASTLE_FROM_FAIRY;;;;;;
OOT_FAIRY_FARORE; oot; 0x371; indoors;;;;OOT Zora Fountain; reverse; OOT_ZORA_FOUNTAIN_FROM_FAIRY;;;;;;
OOT_FAIRY_NAYRU; oot; 0x588; indoors;;;;OOT Desert Colossus; reverse; OOT_DESERT_COLOSSUS_FROM_FAIRY;;;;;;
OOT_FAIRY_DEFENSE; oot; 0x4c2; indoors;;;;OOT Near Fairy Fountain Defense; reverse; OOT_OUTSIDE_GANON_FROM_FAIRY;;;;;;
OOT_BOMBCHU_BOWLING; oot; 0x507; indoors;;;;OOT Market; reverse; OOT_MARKET_FROM_BOWLING;;;;;;
OOT_TREASURE_GAME; oot; 0x063; indoors;;;;OOT Market; reverse; OOT_MARKET_FROM_TREASURE_GAME;;;;;;
OOT_BOMBCHU_SHOP; oot; 0x528; indoors;;;;OOT Back Alley; reverse; OOT_MARKET_FROM_BOMBCHU_SHOP;;;;;;
OOT_ALLEY_HOUSE; oot; 0x43b; indoors;;;;OOT Back Alley; reverse; OOT_MARKET_FROM_ALLEY_HOUSE;;;;;;
OOT_MARKET_BAZAAR; oot; 0x52c; indoors;;;;OOT Market; reverse; OOT_MARKET_FROM_BAZAAR;;;;;;
OOT_MARKET_POTION; oot; 0x388; indoors;;;;OOT Market; reverse; OOT_MARKET_FROM_POTION;;;;;;
OOT_CHILD_ARCHERY; oot; 0x16d; indoors;;;;OOT Market; reverse; OOT_MARKET_FROM_ARCHERY;;;;;;
OOT_KAKARIKO_BAZAAR; oot; 0x0b7; indoors;;;;OOT Kakariko; reverse; OOT_KAKARIKO_FROM_BAZAAR;;;;;;
OOT_ADULT_ARCHERY; oot; 0x03b; indoors;;;;OOT Kakariko; reverse; OOT_KAKARIKO_FROM_ARCHERY;;;;;;
OOT_HOUSE_LINK; oot; 0x272; indoors-extra;;;;OOT Kokiri Forest; reverse; OOT_KOKIRI_FOREST_FROM_LINK;;;;;;
OOT_TEMPLE_OF_TIME; oot; 0x053; indoors-extra;OOT_MARKET; areas;OOT Temple of Time Entryway; OOT Temple of Time; reverse; OOT_TEMPLE_OF_TIME_ENTRYWAY_FROM_TEMPLE; debug;COMMON; Temple of Time;;;
OOT_WINDMILL; oot; 0x453; indoors-extra;OOT_KAKARIKO; areas;OOT Kakariko; OOT Windmill; reverse; OOT_KAKARIKO_FROM_WINDMILL;;;;;;
OOT_SHOP_POTION_KAKARIKO; oot; 0x384; indoors-extra;OOT_KAKARIKO; areas;OOT Kakariko; OOT Kakariko Potion Shop; reverse; OOT_KAKARIKO_FROM_SHOP_POTION;;;;;;
OOT_SHOP_POTION_KAKARIKO_BACK; oot; 0x3ec; indoors-extra;OOT_KAKARIKO; areas;OOT Kakariko Back; OOT Kakariko Potion Shop Back; reverse; OOT_KAKARIKO_FROM_SHOP_POTION_BACK;;;;;;
